1.5 1.01e−06 4.97e−07 1.89e−07 6.97e−08 9.25e−08 1.23e−07 3.85e−08
2.0 2.88e−04 6.19e−09 2.88e−09 1.30e−09 3.34e−09 2.84e−04 3.55e−06
2.5 7.67e−04 1.97e−09 9.68e−10 4.52e−10 2.23e−09 7.56e−04 1.08e−05
3.0 2.03e−04 8.50e−08 3.50e−08 1.43e−08 3.17e−08 1.77e−04 2.60e−05
3.5 1.17e−04 7.40e−05 2.63e−05 8.19e−06 8.12e−06 0 0
4.0 1.21e−04 7.22e−05 2.70e−05 9.56e−06 1.21e−05 0 0
4.5 8.76e−05 3.55e−05 2.12e−05 9.59e−06 2.13e−05 0 0
5.0 7.05e−05 2.66e−05 1.31e−05 4.97e−06 2.58e−05 0 0
5.5 1.15e−04 5.18e−05 2.53e−05 5.93e−06 3.16e−05 0 0
6.0 1.96e−04 1.11e−04 5.04e−05 6.64e−06 2.84e−05 0 0
6.5 2.97e−04 1.94e−04 7.29e−05 7.63e−06 2.26e−05 0 0
7.0 3.77e−04 2.74e−04 7.81e−05 7.09e−06 1.79e−05 0 0
7.5 5.11e−04 4.14e−04 7.33e−05 1.33e−05 1.08e−05 0 0
8.0 6.98e−04 6.11e−04 8.02e−05 4.12e−06 3.21e−06 0 0
