Mstar Md M_olivine M_pyroxene M_quartz M_iron M_carbon M_SiC
1.5 1.15e-05 4.97e-07 1.89e-07 6.97e-08 1.06e-05 1.23e-07 3.85e-08
2.0 1.46e-04 1.01e-12 6.72e-13 3.22e-13 1.85e-05 1.28e-04 0.00e+00
2.5 8.30e-04 5.46e-07 2.06e-07 8.95e-08 1.89e-06 6.42e-04 1.86e-04
3.0 1.14e-03 7.54e-07 3.95e-07 1.67e-07 2.60e-06 9.06e-04 2.33e-04
3.5 1.41e-03 1.03e-03 3.22e-04 4.94e-05 7.77e-05 0.00e+00 0.00e+00
4.0 1.92e-03 1.44e-03 4.19e-04 4.52e-05 6.62e-05 0.00e+00 0.00e+00
4.5 2.41e-03 1.87e-03 5.00e-04 3.86e-05 5.43e-05 0.00e+00 0.00e+00
5.0 2.80e-03 2.20e-03 5.53e-04 3.69e-05 4.57e-05 0.00e+00 0.00e+00
5.5 3.12e-03 2.50e-03 5.88e-04 3.64e-05 4.21e-05 0.00e+00 0.00e+00
6.0 4.11e-03 3.47e-03 6.16e-04 1.95e-05 2.24e-05 0.00e+00 0.00e+00
6.5 4.69e-03 4.07e-03 5.93e-04 2.36e-05 2.52e-05 0.00e+00 0.00e+00
7.0 6.07e-03 5.49e-03 5.68e-04 1.26e-05 2.10e-05 0.00e+00 0.00e+00
7.5 6.41e-03 5.82e-03 5.76e-04 1.36e-05 2.35e-05 0.00e+00 0.00e+00
8.0 6.92e-03 6.11e-03 6.40e-04 1.70e-05 2.64e-05 0.00e+00 0.00e+00
