T t_cool t_int_cool 4PI_epsilon
0.1 0.00000000000000000000e+00 1.74367709342211318016e+09 6.19346690637417699144e-27
1.00202778454699201194e-01 1.05740416481214594096e+07 1.73310305177399182320e+09 6.26924815996346885154e-27
1.00405968100415327049e-01 1.05099714712616857141e+07 1.72259308030273008347e+09 6.34595664735690975217e-27
1.00609569770955128987e-01 1.04462772973446436226e+07 1.71214680300538539886e+09 6.42360371384584756590e-27
1.00813584301816208666e-01 1.03828630026153698564e+07 1.70176394000276994705e+09 6.50220084353796354072e-27
1.01018012530190312570e-01 1.03199093684530369937e+07 1.69144403063431692123e+09 6.58175966105570953449e-27
1.01222855294966884721e-01 1.02574090368598829955e+07 1.68118662159745693207e+09 6.66229193325563925958e-27
1.01428113436736452857e-01 1.01951776163796018809e+07 1.67099144398107743263e+09 6.74380957096868950018e-27
1.01633787797794014618e-01 1.01333895933198034763e+07 1.66085805438775753975e+09 6.82632463076180303790e-27
1.01839879222142659643e-01 1.00719515747324638069e+07 1.65078610281302499771e+09 6.90984931672109561081e-27
1.02046388555496872486e-01 1.00108599459991492331e+07 1.64077524286702585220e+09 6.99439598225682375830e-27
1.02253316645286057573e-01 9.95019557736612670124e+06 1.63082504728965973854e+09 7.07997713193048071578e-27
1.02460664340658078042e-01 9.88986858716612495482e+06 1.62093517870249366760e+09 7.16660542330416241708e-27
1.02668432492482600282e-01 9.82987565163752436638e+06 1.61110530305085611343e+09 7.25429366881265273779e-27
1.02876621953354743799e-01 9.77029490118285641074e+06 1.60133500814967322350e+09 7.34305483765840304067e-27
1.03085233577598536781e-01 9.71103982795245759189e+06 1.59162396832172083855e+09 7.43290205772967005044e-27
1.03294268221270246766e-01 9.65210737716466188431e+06 1.58197186094455623627e+09 7.52384861754200290335e-27
1.03503726742162183161e-01 9.59365148528089188039e+06 1.57237820945927524567e+09 7.61590796820381405571e-27
1.03713609999806055662e-01 9.53543101997812837362e+06 1.56284277843929719925e+09 7.70909372540568966816e-27
1.03923918855476415946e-01 9.47759916749552264810e+06 1.55336517927180171013e+09 7.80341967143406796478e-27
1.04134654172194432431e-01 9.42015041175828687847e+06 1.54394502886004352570e+09 7.89889975720985666930e-27
1.04345816814731179312e-01 9.36300463555069826543e+06 1.53458202422449278831e+09 7.99554810435148442283e-27
1.04557407649611341927e-01 9.30623312511966936290e+06 1.52527579109937310219e+09 8.09337900726374219190e-27
1.04769427545116797229e-01 9.24983072001360170543e+06 1.51602596037935948372e+09 8.19240693525181917086e-27
1.04981877371289986089e-01 9.19372032759977132082e+06 1.50683224005175971985e+09 8.29264653466124633869e-27
1.05194757999937729687e-01 9.13804201591406203806e+06 1.49769419803584575653e+09 8.39411263104422980661e-27
1.05408070304634574055e-01 9.08257740076066367328e+06 1.48861162063508510590e+09 8.49682023135220319985e-27
1.05621815160726550964e-01 9.02753532506134919822e+06 1.47958408531002378464e+09 8.60078452615543133273e-27
1.05835993445334758389e-01 8.97277136943254619837e+06 1.47061131394059133530e+09 8.70602089188978571119e-27
1.06050606037358746692e-01 8.91835133926207013428e+06 1.46169296260132932663e+09 8.81254489313067751342e-27
1.06265653817480473786e-01 8.86433780932061187923e+06 1.45282862479200863838e+09 8.92037228489529599236e-27
1.06481137668167566424e-01 8.81052551790075749159e+06 1.44401809927410793304e+09 9.02951901497259411240e-27
1.06697058473677205970e-01 8.75711122028137743473e+06 1.43526098805382657051e+09 9.14000122628215788449e-27
1.06913417120059667242e-01 8.70402383029684238136e+06 1.42655696422352981567e+09 9.25183525926154757502e-27
1.07130214495161829591e-01 8.65125934590184874833e+06 1.41790570487762784958e+09 9.36503765428313819790e-27
1.07347451488631062677e-01 8.59881386123052611947e+06 1.40930689101639723778e+09 9.47962515410046359475e-27
1.07565128991918709800e-01 8.54668356426937133074e+06 1.40076020745212793350e+09 9.59561470632450749638e-27
1.07783247898283723876e-01 8.49486473460152186453e+06 1.39226534271752643585e+09 9.71302346593002909636e-27
1.08001809102796511586e-01 8.44335374120015278459e+06 1.38382198897632622719e+09 9.83186879779310982339e-27
1.08220813502342347312e-01 8.39214704024446196854e+06 1.37542984193608164787e+09 9.95216827925916940933e-27
1.08440261995625300551e-01 8.34124117301800101995e+06 1.36708860076306366920e+09 1.00739397027427254706e-26
1.08660155483171816382e-01 8.29069136190300155431e+06 1.35879790940116071701e+09 1.01972010783590386605e-26
1.08880494867334351450e-01 8.24037640769350528717e+06 1.35055753299346709251e+09 1.03219706365875802566e-26
1.09101281052295176477e-01 8.19040959964700322598e+06 1.34236712339382004738e+09 1.04482668309683409814e-26
1.09322514944070081633e-01 8.14078572509860713035e+06 1.33422633766872143745e+09 1.05761083408314631947e-26
1.09544197450511970882e-01 8.09138806513800099492e+06 1.32613494960358333588e+09 1.07055140740593527179e-26
1.09766329481314789396e-01 8.04232598508370202035e+06 1.31809262361849951744e+09 1.08365031698837369338e-26
1.09988911948017034637e-01 7.99359459063300769776e+06 1.31009902902786660194e+09 1.09690950017158195392e-26
1.10211945764005683768e-01 7.94508147298288717866e+06 1.30215394755488371849e+09 1.11033091800121090824e-26
1.10435431844519885147e-01 7.89694537013639789075e+06 1.29425700218474721909e+09 1.12391655551744117401e-26
1.10659371106654594308e-01 7.84902218876066245139e+06 1.28640797999598646164e+09 1.13766842204859613624e-26
1.10883764469364556882e-01 7.80146693926379457116e+06 1.27860651305672264099e+09 1.15158855150831185534e-26
1.11108612853467833559e-01 7.75411955607905145735e+06 1.27085239350064349174e+09 1.16567900269635083544e-26
1.11333917181649824646e-01 7.70713140746200457215e+06 1.26314526209318137169e+09 1.17994185960311217146e-26
1.11559678378466892168e-01 7.66039638381790462881e+06 1.25548486570936346054e+09 1.19437923171784022730e-26
1.11785897370350148505e-01 7.61396163196842931211e+06 1.24787090407739496231e+09 1.20899325434062224566e-26
1.12012575085609383807e-01 7.56777430990517418832e+06 1.24030312976748967171e+09 1.22378608889821391972e-26
1.12239712454436785238e-01 7.52188050629612710327e+06 1.23278124926119351387e+09 1.23875992326369378744e-26
1.12467310408910725616e-01 7.47627637537257280201e+06 1.22530497288582086563e+09 1.25391697208005822968e-26
1.12695369882999704703e-01 7.43091108617926854640e+06 1.21787406179964160919e+09 1.26925947708778462269e-26
1.12923891812565999060e-01 7.38587569970257300884e+06 1.21048818609993910789e+09 1.28478970745635303094e-26
1.13152877135369714368e-01 7.34107304097507148981e+06 1.20314711305896401405e+09 1.30050996011989777093e-26
1.13382326791072532424e-01 7.29659206892071198672e+06 1.19585052099004340172e+09 1.31642256011688524408e-26
1.13612241721241472026e-01 7.25233802767214272171e+06 1.18859818296237134933e+09 1.33252986093401634582e-26
1.13842622869352927406e-01 7.20835352037201356143e+06 1.18138982944199943542e+09 1.34883424485429576700e-26
1.14073471180796470748e-01 7.16463528410614654422e+06 1.17422519415789318085e+09 1.36533812330938585148e-26
1.14304787602878640818e-01 7.12118013429448287934e+06 1.16710401402359867096e+09 1.38204393723623195241e-26
1.14536573084826981406e-01 7.07802767589471396059e+06 1.16002598634770393372e+09 1.39895415743811512025e-26
1.14768828577793816081e-01 7.03508893291044048965e+06 1.15299089741479349136e+09 1.41607128495005033177e-26
1.15001555034860244997e-01 6.99244586695751547813e+06 1.14599845154783606529e+09 1.43339785140871622675e-26
1.15234753411040016791e-01 6.95005289374874904752e+06 1.13904839865408730507e+09 1.45093641942687789634e-26
1.15468424663283358855e-01 6.90790721107409335673e+06 1.13214049144301319122e+09 1.46868958297239943737e-26
1.15702569750481112920e-01 6.86600608403636980802e+06 1.12527448535897684097e+09 1.48665996775188444165e-26
1.15937189633468412664e-01 6.82438655075318738818e+06 1.11845009880822372437e+09 1.50485023159903596880e-26
1.16172285275028833174e-01 6.78300533869604859501e+06 1.11166709346952772141e+09 1.52326306486774375131e-26
1.16407857639898318358e-01 6.74185992250690422952e+06 1.10492523354702091217e+09 1.54190119082999305009e-26
1.16643907694768955707e-01 6.70098612222798727453e+06 1.09822424742479300499e+09 1.56076736607863533857e-26
1.16880436408293195139e-01 6.66034232188927195966e+06 1.09156390510290384293e+09 1.57986438093509141393e-26
1.17117444751087623755e-01 6.61996355509083997458e+06 1.08494394154781293869e+09 1.59919505986204117579e-26
1.17354933695737073673e-01 6.57980927838069945574e+06 1.07836413226943230629e+09 1.61876226188117325366e-26
1.17592904216798591066e-01 6.53991375429394841194e+06 1.07182421851513826847e+09 1.63856888099602576486e-26
1.17831357290805321947e-01 6.50023748266471084207e+06 1.06532398103247356415e+09 1.65861784662001950862e-26
