T t_cool t_int_cool 4PI_epsilon
0.1 0.00000000000000000000e+00 3.53811215094004516602e+10 1.32729814291808315209e-34
1.00202778454699201194e-01 2.13822020597824543715e+08 3.51672994888026275635e+10 1.34351041882861211723e-34
1.00405968100415327049e-01 2.12530878731631129980e+08 3.49547686100709991455e+10 1.35992071856834273474e-34
1.00609569770955128987e-01 2.11247286470498532057e+08 3.47435213236005020142e+10 1.37653146087328127645e-34
1.00813584301816208666e-01 2.09969300408161938190e+08 3.45335520231923370361e+10 1.39334509402264373230e-34
1.01018012530190312570e-01 2.08700576856359422207e+08 3.43248514463359794617e+10 1.41036409619971646487e-34
1.01222855294966884721e-01 2.07440967591526836157e+08 3.41174104787444534302e+10 1.42759097585709078996e-34
1.01428113436736452857e-01 2.06186744062190294266e+08 3.39112237346822624207e+10 1.44502827208641666775e-34
1.01633787797794014618e-01 2.04941435481944531202e+08 3.37062822992003173828e+10 1.46267855499261349631e-34
1.01839879222142659643e-01 2.03703153556874990463e+08 3.35025791456434440613e+10 1.48054442607269431090e-34
1.02046388555496872486e-01 2.02471825621272474527e+08 3.33001073200221710205e+10 1.49862851859917666133e-34
1.02253316645286057573e-01 2.01249087763919651508e+08 3.30988582322582511902e+10 1.51693349800822620720e-34
1.02460664340658078042e-01 2.00033122571316897869e+08 3.28988251096869354248e+10 1.53546206229250544815e-34
1.02668432492482600282e-01 1.98823863240249514580e+08 3.27000012464466857910e+10 1.55421694239882060135e-34
1.02876621953354743799e-01 1.97622890528079450130e+08 3.25023783559186058044e+10 1.57320090263065023026e-34
1.03085233577598536781e-01 1.96428455131457507610e+08 3.23059499007871475220e+10 1.59241674105557657914e-34
1.03294268221270246766e-01 1.95240495669050663710e+08 3.21107094051180953979e+10 1.61186728991767841414e-34
1.03503726742162183161e-01 1.94062126401795208454e+08 3.19166472787163009644e+10 1.63155541605498394260e-34
1.03713609999806055662e-01 1.92888470160911738873e+08 3.17237588085553894043e+10 1.65148402132202700227e-34
1.03923918855476415946e-01 1.91722626050740808249e+08 3.15320361825046501160e+10 1.67165604301752426784e-34
1.04134654172194432431e-01 1.90564482974265992641e+08 3.13414716995303840637e+10 1.69207445431732935017e-34
1.04345816814731179312e-01 1.89412420653350502253e+08 3.11520592788770332336e+10 1.71274226471264048196e-34
1.04557407649611341927e-01 1.88267881611537396908e+08 3.09637913972654953003e+10 1.73366252045355929205e-34
1.04769427545116797229e-01 1.87130761921203404665e+08 3.07766606353442916870e+10 1.75483830499811100034e-34
1.04981877371289986089e-01 1.85999502375532478094e+08 3.05906611329687576294e+10 1.77627273946667150875e-34
1.05194757999937729687e-01 1.84876937138401836157e+08 3.04057841958303565979e+10 1.79796898310203808834e-34
1.05408070304634574055e-01 1.83758648407781064510e+08 3.02220255474225769043e+10 1.81993023373502648853e-34
1.05621815160726550964e-01 1.82648861848950237036e+08 3.00393766855736274719e+10 1.84215972825582924415e-34
1.05835993445334758389e-01 1.81544655981083244085e+08 2.98578320295925445557e+10 1.86466074309111187376e-34
1.06050606037358746692e-01 1.80447362612084060907e+08 2.96773846669804611206e+10 1.88743659468688716761e-34
1.06265653817480473786e-01 1.79358248294112741947e+08 2.94980264186863479614e+10 1.91049063999736342548e-34
