T t_cool t_int_cool 4PI_epsilon
0.1 0.00000000000000000000e+00 4.85348500415409774780e+10 3.61011421763223086307e-33
1.00202778454699201194e-01 2.86344796862814843655e+08 4.82485052446781616211e+10 3.65368197000148346323e-33
1.00405968100415327049e-01 2.84656861567087233067e+08 4.79638483831110763550e+10 3.69777550720817173727e-33
1.00609569770955128987e-01 2.82978545552463293076e+08 4.76808698375586166382e+10 3.74240117450222502232e-33
1.00813584301816208666e-01 2.81307249410718977451e+08 4.73995625881478958130e+10 3.78756539370852757952e-33
1.01018012530190312570e-01 2.79647875559640049934e+08 4.71199147125882568359e+10 3.83327466415101950882e-33
1.01222855294966884721e-01 2.78000230634423375130e+08 4.68419144819538345337e+10 3.87953556358797110313e-33
1.01428113436736452857e-01 2.76359322317935287952e+08 4.65655551596359024048e+10 3.92635474915854764493e-33
1.01633787797794014618e-01 2.74729884648625671864e+08 4.62908252749872741699e+10 3.97373895834066464512e-33
1.01839879222142659643e-01 2.73109391026414394379e+08 4.60177158839608612061e+10 4.02169500992071648640e-33
1.02046388555496872486e-01 2.71497747994606256485e+08 4.57462181359662551880e+10 4.07022980497465777370e-33
1.02253316645286057573e-01 2.69897153668979048729e+08 4.54763209822972793579e+10 4.11935032786112504054e-33
1.02460664340658078042e-01 2.68305175239153116941e+08 4.52080158070581283569e+10 4.16906364722649891425e-33
1.02668432492482600282e-01 2.66721726926578879356e+08 4.49412940801315460205e+10 4.21937691702206890183e-33
1.02876621953354743799e-01 2.65148933419870376587e+08 4.46761451467116775513e+10 4.27029737753356764538e-33
1.03085233577598536781e-01 2.63584452075163632631e+08 4.44125606946365127563e+10 4.32183235642295969681e-33
1.03294268221270246766e-01 2.62028204218169599771e+08 4.41505324904183425903e+10 4.37398926978295213941e-33
1.03503726742162183161e-01 2.60484373707265973091e+08 4.38900481167110748291e+10 4.42677562320421268748e-33
1.03713609999806055662e-01 2.58946418586815148592e+08 4.36311016981242599487e+10 4.48019901285538421365e-33
1.03923918855476415946e-01 2.57418502549610912800e+08 4.33736831955746459961e+10 4.53426712657617076340e-33
1.04134654172194432431e-01 2.55900480859118491411e+08 4.31177827147155303955e+10 4.58898774498372358893e-33
1.04345816814731179312e-01 2.54390181789502173662e+08 4.28633925329260253906e+10 4.64436874259214930312e-33
1.04557407649611341927e-01 2.52889546445844471455e+08 4.26105029864801788330e+10 4.70041808894579632797e-33
1.04769427545116797229e-01 2.51398439494041919708e+08 4.23591045469861373901e+10 4.75714384976599462940e-33
1.04981877371289986089e-01 2.49914770161710828543e+08 4.21091897768244247437e+10 4.81455418811173796127e-33
1.05194757999937729687e-01 2.48442350390547126532e+08 4.18607474264338760376e+10 4.87265736555442288453e-33
1.05408070304634574055e-01 2.46975247539337694645e+08 4.16137721788945388794e+10 4.93146174336660145534e-33
1.05621815160726550964e-01 2.45519144205573856831e+08 4.13682530346889648438e+10 4.99097578372526622663e-33
1.05835993445334758389e-01 2.44070117588948309422e+08 4.11241829171000137329e+10 5.05120805092956219213e-33
1.06050606037358746692e-01 2.42629961602755337954e+08 4.08815529554972610474e+10 5.11216721263310494054e-33
1.06265653817480473786e-01 2.41200383440511822701e+08 4.06403525720567474365e+10 5.17386204109143598053e-33
1.06481137668167566424e-01 2.39775802334808975458e+08 4.04005767697219390869e+10 5.23630141442422317408e-33
1.06697058473677205970e-01 2.38361576404777497053e+08 4.01622151933171615601e+10 5.29949431789288229528e-33
1.06913417120059667242e-01 2.36955775678073436022e+08 3.99252594176390914917e+10 5.36344984519362039865e-33
1.07130214495161829591e-01 2.35558295483887135983e+08 3.96897011221552047729e+10 5.42817719976591810281e-33
1.07347451488631062677e-01 2.34169033699962496758e+08 3.94555320884552459717e+10 5.49368569611709191090e-33
1.07565128991918709800e-01 2.32787890691362529993e+08 3.92227441977638854980e+10 5.55998476116244392367e-33
1.07783247898283723876e-01 2.31414769251088529825e+08 3.89913294285127944946e+10 5.62708393558206634067e-33
1.08001809102796511586e-01 2.30049574542011439800e+08 3.87612798539707794189e+10 5.69499287519354330935e-33
1.08220813502342347312e-01 2.28692214039332151413e+08 3.85325876399314498901e+10 5.76372135234156141065e-33
1.08440261995625300551e-01 2.27342597475243628025e+08 3.83052450424562072754e+10 5.83327925730408940422e-33
1.08660155483171816382e-01 2.26002234153404742479e+08 3.80792428083028030396e+10 5.90367659971573003789e-33
1.08880494867334351450e-01 2.24667824369679123163e+08 3.78545749839331207275e+10 5.97492351000797570403e-33
1.09101281052295176477e-01 2.23342460448566854000e+08 3.76312325234845504761e+10 6.04703024086711580387e-33
1.09322514944070081633e-01 2.22026004822783231735e+08 3.74092065186617660522e+10 6.12000716870952897088e-33
1.09544197450511970882e-01 2.20715278187259227037e+08 3.71884912404745101929e+10 6.19386479517493422029e-33
1.09766329481314789396e-01 2.19413267232507050037e+08 3.69690779732420043945e+10 6.26861374863753328624e-33
1.09988911948017034637e-01 2.18119842841939002275e+08 3.67509581304000625610e+10 6.34426478573555800167e-33
1.10211945764005683768e-01 2.16831941597004532814e+08 3.65341261888030548096e+10 6.42082879291904276884e-33
1.10435431844519885147e-01 2.15553899235118091106e+08 3.63185722895679397583e+10 6.49831678801651045392e-33
1.10659371106654594308e-01 2.14281240945892959833e+08 3.61042910486220474243e+10 6.57673992182038149000e-33
1.10883764469364556882e-01 2.13018202048721015453e+08 3.58912728465733261108e+10 6.65610947969165493948e-33
1.11108612853467833559e-01 2.11760416126555621624e+08 3.56795124304467697144e+10 6.73643688318383825188e-33
1.11333917181649824646e-01 2.10512020351636588573e+08 3.54690004100951309204e+10 6.81773369168664983568e-33
1.11559678378466892168e-01 2.09270120738647222519e+08 3.52597302893564834595e+10 6.90001160408924949057e-33
1.11785897370350148505e-01 2.08036008805242270231e+08 3.50516942805512390137e+10 6.98328246046390672308e-33
1.12012575085609383807e-01 2.06808244479384243488e+08 3.48448860360718536377e+10 7.06755824376969504042e-33
1.12239712454436785238e-01 2.05588090708652675152e+08 3.46392979453631973267e+10 7.15285108157698950537e-33
1.12467310408910725616e-01 2.04375446241202771664e+08 3.44349224991219940186e+10 7.23917324781248291336e-33
1.12695369882999704703e-01 2.03168925132499128580e+08 3.42317535739894943237e+10 7.32653716452560050874e-33
1.12923891812565999060e-01 2.01971020636331558228e+08 3.40297825533531646729e+10 7.41495540367592870412e-33
1.13152877135369714368e-01 2.00779079383400171995e+08 3.38290034739697647095e+10 7.50444068894245013873e-33
1.13382326791072532424e-01 1.99595537869731873274e+08 3.36294079361000328064e+10 7.59500589755445096688e-33
1.13612241721241472026e-01 1.98417807922200053930e+08 3.34309901281778335571e+10 7.68666406214453965103e-33
1.13842622869352927406e-01 1.97247058301031887531e+08 3.32337430698768005371e+10 7.77942837262421379658e-33
1.14073471180796470748e-01 1.96083203267354607582e+08 3.30376598666094474792e+10 7.87331217808179302391e-33
1.14304787602878640818e-01 1.94926159168611347675e+08 3.28427337074408378601e+10 7.96832898870343084291e-33
1.14536573084826981406e-01 1.93777013756101548672e+08 3.26489566936847381592e+10 8.06449247771725479449e-33
1.14768828577793816081e-01 1.92633334723062008619e+08 3.24563233589616775513e+10 8.16181648336096602526e-33
1.15001555034860244997e-01 1.91497369504086315632e+08 3.22648259894575920105e+10 8.26031501087325546227e-33
1.15234753411040016791e-01 1.90367873429212719202e+08 3.20744581160283775330e+10 8.36000223450915564346e-33
1.15468424663283358855e-01 1.89244773034917891026e+08 3.18852133429934577942e+10 8.46089249957965937008e-33
1.15702569750481112920e-01 1.88127996652349114418e+08 3.16970853463411102295e+10 8.56300032451624835507e-33
1.15937189633468412664e-01 1.87018562521773725748e+08 3.15100667838193359375e+10 8.66634040295989396180e-33
1.16172285275028833174e-01 1.85915288323035359383e+08 3.13241514954962997437e+10 8.77092760587572058933e-33
