T t_cool t_int_cool 4PI_epsilon
0.1 0.00000000000000000000e+00 6.85376410558190059662e+09 6.72038842602703144175e-33
1.00192539700617658238e-01 3.87160971879969090223e+07 6.81504800839390373230e+09 6.79768226306337219801e-33
1.00385450116598440307e-01 3.84973953372654840350e+07 6.77655061305663871765e+09 6.87586508665343368182e-33
1.00578731961716641430e-01 3.82799363315792009234e+07 6.73827067672505950928e+09 6.95494712136805338494e-33
1.00772385951120771463e-01 3.80637056865266785026e+07 6.70020697103853321075e+09 7.03493870937459254566e-33
1.00966412801336308247e-01 3.78486892512593939900e+07 6.66235828178727340698e+09 7.11585031178922474674e-33
1.01160813230268403773e-01 3.76349416417483687401e+07 6.62472334014552497864e+09 7.19769251004527923364e-33
1.01355587957204354432e-01 3.74223116916690617800e+07 6.58730102845385551453e+09 7.28047600727677819445e-33
1.01550737702816404329e-01 3.72109223270715996623e+07 6.55009010612678432465e+09 7.36421162971843519150e-33
1.01746263189164437568e-01 3.70007583749533295631e+07 6.51308934775183105469e+09 7.44891032812122524840e-33
1.01942165139698517895e-01 3.67917396305804550648e+07 6.47629760812125015259e+09 7.53458317918468020064e-33
1.02138444279261622616e-01 3.65839184785814359784e+07 6.43971368964266872406e+09 7.62124138700534550596e-33
1.02335101334092459791e-01 3.63772168418725058436e+07 6.40333647280079650879e+09 7.70889628454207453160e-33
1.02532137031827896845e-01 3.61717494031377956271e+07 6.36716472339765834808e+09 7.79755933509810831717e-33
1.02729552101505847150e-01 3.59674379956133812666e+07 6.33119728540204524994e+09 7.88724213382024187315e-33
1.02927347273567962316e-01 3.57642694014598801732e+07 6.29543301600058555603e+09 7.97795640921510575283e-33
1.03125523279862185699e-01 3.55622307073643431067e+07 6.25987078529322147369e+09 8.06971402468315407037e-33
1.03324080853645611233e-01 3.53613696485806107521e+07 6.22450941564464092255e+09 8.16252698006986084709e-33
1.03523020729587175714e-01 3.51616121767795458436e+07 6.18934780346786117554e+09 8.25640741323542061355e-33
1.03722343643770281707e-01 3.49630052608030289412e+07 6.15438479820705795288e+09 8.35136760164166965598e-33
1.03922050333695628610e-01 3.47654768326773121953e+07 6.11961932137438106537e+09 8.44741996395799868860e-33
1.04122141538283835560e-01 3.45691307507639825344e+07 6.08505019062361717224e+09 8.54457706168525113699e-33
1.04322617997878341889e-01 3.43738379054012596607e+07 6.05067635271821594238e+09 8.64285160079867853319e-33
1.04523480454247974514e-01 3.41796437656337693334e+07 6.01649670895258235931e+09 8.74225643340937553428e-33
1.04724729650589723495e-01 3.39865914888873547316e+07 5.98251011746369457245e+09 8.84280455944514153574e-33
1.04926366331531614740e-01 3.37946118385226577520e+07 5.94871550562517166138e+09 8.94450912835064298154e-33
1.05128391243135346778e-01 3.36036928569693043828e+07 5.91511181276820278168e+09 9.04738344080690647720e-33
1.05330805132899024690e-01 3.34138766916763819754e+07 5.88169793607652664185e+09 9.15144095047085977620e-33
1.05533608749760074441e-01 3.32251500938561819494e+07 5.84847278598267078400e+09 9.25669526573475368858e-33
1.05736802844097879661e-01 3.30374475073852092028e+07 5.81543533847528553009e+09 9.36316015150579060368e-33
1.05940388167736571079e-01 3.28508621088829785585e+07 5.78258447636640262604e+09 9.47084953100621689712e-33
1.06144365473947926981e-01 3.26652769039145298302e+07 5.74991919946248817444e+09 9.57977748759432396969e-33
1.06348735517453982236e-01 3.24807324143628999591e+07 5.71743846704812526703e+09 9.68995826660608696418e-33
1.06553499054429942627e-01 3.22972670881518982351e+07 5.68514119995997333527e+09 9.80140627721812265091e-33
1.06758656842506988172e-01 3.21148179828278385103e+07 5.65302638197714519501e+09 9.91413609433221690939e-33
1.06964209640774979282e-01 3.19334229672745764256e+07 5.62109295900987052917e+09 1.00281624604812384330e-32
1.07170158209785357228e-01 3.17530693708840571344e+07 5.58933988963898658752e+09 1.01435002877572802568e-32
1.07376503311553961328e-01 3.15736968021286912262e+07 5.55776619283685779572e+09 1.02601646597616486781e-32
1.07583245709563735115e-01 3.13953422713460773230e+07 5.52637085056551170349e+09 1.03781708335775918023e-32
1.07790386168767668429e-01 3.12179939444524049759e+07 5.49515285662105941772e+09 1.04975342417655090765e-32
