Evolutionary tracks: tracksZ0.0001.dat                                                       
Metallicity (mass fraction): .0001
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) only
Initial mass function: IMF_Salpeter.dat from   0.1000 to 100.0000 solar masses
  516  4422     1   855 0.2604E-01
    0   238  0.12000E+03 0.52092E+03 0.73726E+13 0.29991E+13 0.78638E+10
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -5 .353358E+01   -3 .376915E-03   -2 .130546E-02   -1 .267915E+03   25 .254382E-06
  26 .510260E-02   35 .666006E-04   45 .285941E-03   55 .167417E-02   65 .708379E-04
  66 .621701E-02   76 .579177E-03   77 .433441E-02   87 .116040E-02   88 .289543E-02
  98 .133044E-02   99 .249808E-02  109 .121317E-02  110 .183630E-02  120 .162512E-02
 121 .199198E-02  131 .236002E-02  132 .227218E-02  142 .329980E-02  143 .237051E-02
 152 .478583E-02  153 .245178E-02  162 .618454E-02  163 .214320E-02  172 .714281E-02
 173 .174477E-02  182 .809897E-02  183 .146865E-02  192 .776781E-02  193 .121917E-02
 202 .840497E-02  203 .128186E-02  211 .790343E-02  212 .125354E-02  219 .777509E-02
 220 .142658E-02  227 .802400E-02  228 .168653E-02  235 .893336E-02  236 .209757E-02
 242 .938828E-02  243 .239635E-02  249 .970849E-02  250 .267708E-02  256 .104654E-01
 257 .314300E-02  263 .106723E-01  264 .351235E-02  270 .110529E-01  271 .395673E-02
 277 .187845E-01  278 .721475E-02  284 .275949E-01  285 .114448E-01  290 .289173E-01
 291 .133159E-01  296 .280470E-01  297 .148479E-01  301 .324679E-01  302 .192275E-01
 307 .348416E-01  308 .225064E-01  313 .559231E-01  314 .403804E-01  320 .896786E-01
 321 .718046E-01  326 .100604E+00  327 .890235E-01  332 .126157E+00  333 .120258E+00
 338 .156753E+00  339 .151326E+00  344 .204212E+00  345 .194329E+00  350 .246357E+00
 351 .224249E+00  355 .285089E+00  356 .247705E+00  360 .360918E+00  361 .295362E+00
 365 .444505E+00  366 .335900E+00  370 .526178E+00  371 .367473E+00  375 .611537E+00
 376 .396621E+00  380 .710172E+00  381 .428946E+00  385 .794455E+00  386 .447558E+00
 389 .937295E+00  390 .489084E+00  393 .108971E+01  394 .519050E+00  397 .124731E+01
 398 .540217E+00  401 .144170E+01  402 .567007E+00  405 .165017E+01  406 .586068E+00
 408 .191820E+01  409 .612417E+00  411 .205576E+01  412 .589757E+00  414 .235240E+01
 415 .604244E+00  417 .503140E+01  418 .109221E+01  419 .884632E+01  420 .152827E+01
 421 .596969E+02  422 .144652E+01  423 .143177E+01  424 .127238E+01  425 .100811E+01
 426 .749561E+02  453 .269545E-06  454 .116114E-02  465 .642025E-04  476 .221145E-03
 487 .102065E-02  497 .262100E-04  498 .251854E-02  508 .214296E-03  509 .160373E-02
 519 .429347E-03  520 .107131E-02  530 .492263E-03  531 .924291E-03  541 .448873E-03
