Evolutionary tracks: tracksZ0.02.dat                                                         
Metallicity (mass fraction): .0200
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) only
Initial mass function: IMF_Salpeter.dat from   0.1000 to 100.0000 solar masses
  516  4422  2222  3141 0.2648E-01
    0   128  0.12000E+03 0.56464E+03 0.64198E+13 0.13442E+13 0.30824E+06
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -3 .224889E-07 2702 .205374E-03 2703 .183215E-03 2711 .682705E-03 2712 .414895E-03
2721 .155531E-02 2722 .443977E-03 2730 .851443E-04 2731 .325939E-02 2732 .187477E-03
2742 .111980E-02 2743 .426723E-02 2753 .191045E-02 2754 .229520E-02 2764 .142980E-02
2765 .980727E-03 2775 .174173E-02 2776 .947422E-03 2786 .232755E-02 2787 .979951E-03
2797 .287476E-02 2798 .928520E-03 2808 .349888E-02 2809 .884850E-03 2819 .488354E-02
2820 .903674E-03 2830 .707686E-02 2831 .756800E-03 2840 .600100E-04 2841 .993253E-02
2842 .283343E-03 2851 .790255E-03 2852 .920125E-02 2853 .233707E-05 2861 .269534E-02
2862 .114944E-01 2871 .539632E-02 2872 .140269E-01 2881 .792488E-02 2882 .145904E-01
2891 .941083E-02 2892 .142243E-01 2901 .919921E-02 2902 .127899E-01 2911 .948607E-02
2912 .130340E-01 2920 .103915E-01 2921 .144844E-01 2929 .106350E-01 2930 .152154E-01
2938 .109573E-01 2939 .161477E-01 2946 .133600E-01 2947 .200751E-01 2954 .146096E-01
2955 .220759E-01 2962 .155770E-01 2963 .235584E-01 2969 .174350E-01 2970 .263194E-01
2976 .184526E-01 2977 .277694E-01 2983 .195257E-01 2984 .293151E-01 2990 .320931E-01
2991 .482738E-01 2997 .477002E-01 2998 .719736E-01 3003 .585624E-01 3004 .878227E-01
3009 .664156E-01 3010 .981728E-01 3015 .748251E-01 3016 .108987E+00 3021 .873419E-01
3022 .125036E+00 3027 .149809E+00 3028 .209143E+00 3034 .240453E+00 3035 .325921E+00
3040 .301714E+00 3041 .396453E+00 3046 .361582E+00 3047 .462878E+00 3052 .446287E+00
3053 .554842E+00 3058 .553871E+00 3059 .661531E+00 3064 .657392E+00 3065 .753365E+00
3069 .763954E+00 3070 .840399E+00 3074 .913823E+00 3075 .965985E+00 3079 .108622E+01
3080 .110354E+01 3084 .123987E+01 3085 .121262E+01 3089 .147307E+01 3090 .138521E+01
3094 .171981E+01 3095 .155293E+01 3099 .190229E+01 3100 .165068E+01 3103 .216674E+01
3104 .180893E+01 3107 .255701E+01 3108 .205657E+01 3111 .287462E+01 3112 .222870E+01
3115 .320201E+01 3116 .239535E+01 3119 .387949E+01 3120 .279869E+01 3122 .455180E+01
3123 .316683E+01 3125 .477250E+01 3126 .320498E+01 3128 .523482E+01 3129 .339360E+01
3131 .127491E+02 3132 .765706E+01 3134 .343763E+02 3136 .453129E+02 3138 .631597E+02
3139 .973070E+02 3140 .163037E+03 3141 .654344E+02
    1   126  0.12000E+03 0.61439E+03 0.59919E+13 0.92283E+12 0.13047E+05
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -3 .224889E-07 2702 .205374E-03 2703 .183215E-03 2711 .682705E-03 2712 .414895E-03
2721 .155531E-02 2722 .443977E-03 2730 .851443E-04 2731 .325939E-02 2732 .187477E-03
2742 .111979E-02 2743 .426723E-02 2753 .191044E-02 2754 .229518E-02 2764 .142982E-02
2765 .980724E-03 2775 .174174E-02 2776 .947400E-03 2786 .232752E-02 2787 .979908E-03
2797 .287477E-02 2798 .928482E-03 2808 .349883E-02 2809 .884769E-03 2819 .488350E-02
2820 .903542E-03 2830 .707670E-02 2831 .756539E-03 2840 .601791E-04 2841 .993349E-02
2842 .283018E-03 2851 .791086E-03 2852 .920321E-02 2853 .231813E-05 2861 .269624E-02
2862 .114931E-01 2871 .540155E-02 2872 .140323E-01 2881 .793347E-02 2882 .145943E-01
2891 .940963E-02 2892 .142113E-01 2901 .921235E-02 2902 .127969E-01 2911 .949726E-02
2912 .130351E-01 2920 .104047E-01 2921 .144844E-01 2929 .106508E-01 2930 .152156E-01
2938 .109793E-01 2939 .161526E-01 2946 .133899E-01 2947 .200804E-01 2954 .146410E-01
2955 .220735E-01 2962 .156176E-01 2963 .235588E-01 2969 .174884E-01 2970 .263223E-01
2976 .185132E-01 2977 .277680E-01 2983 .196041E-01 2984 .293242E-01 2990 .322374E-01
2991 .482852E-01 2997 .479452E-01 2998 .719824E-01 3003 .589411E-01 3004 .878442E-01
3009 .668947E-01 3010 .981394E-01 3015 .754767E-01 3016 .108966E+00 3021 .882656E-01
3022 .125023E+00 3027 .151691E+00 3028 .208976E+00 3034 .244241E+00 3035 .325665E+00
3040 .307956E+00 3041 .396248E+00 3046 .370920E+00 3047 .462105E+00 3052 .460724E+00
3053 .553493E+00 3058 .575209E+00 3059 .657993E+00 3064 .688755E+00 3065 .748664E+00
3069 .808560E+00 3070 .833931E+00 3074 .979095E+00 3075 .957060E+00 3079 .117747E+01
3080 .108783E+01 3084 .136229E+01 3085 .119180E+01 3089 .164956E+01 3090 .136002E+01
3094 .195271E+01 3095 .150723E+01 3099 .219071E+01 3100 .158416E+01 3103 .256194E+01
3104 .173742E+01 3107 .310287E+01 3108 .196669E+01 3111 .354822E+01 3112 .208790E+01
3115 .411351E+01 3116 .224652E+01 3119 .518286E+01 3120 .260596E+01 3122 .612639E+01
3123 .280474E+01 3125 .658684E+01 3126 .274667E+01 3128 .804203E+01 3129 .302467E+01
3131 .204075E+02 3132 .625583E+01 3134 .466137E+02 3136 .756242E+02 3138 .284342E+03
3139 .964374E+02
    2   128  0.12000E+03 0.67524E+03 0.45018E+13 0.32871E+12 0.62693E+03
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -3 .224889E-07 2702 .205374E-03 2703 .183215E-03 2711 .682705E-03 2712 .414895E-03
2721 .155531E-02 2722 .443977E-03 2730 .851443E-04 2731 .325939E-02 2732 .187477E-03
2742 .111979E-02 2743 .426722E-02 2753 .191042E-02 2754 .229516E-02 2764 .142984E-02
2765 .980722E-03 2775 .174175E-02 2776 .947377E-03 2786 .232749E-02 2787 .979865E-03
2797 .287478E-02 2798 .928444E-03 2808 .349878E-02 2809 .884689E-03 2819 .488346E-02
2820 .903410E-03 2830 .707654E-02 2831 .756278E-03 2840 .603480E-04 2841 .993445E-02
2842 .282693E-03 2851 .791917E-03 2852 .920518E-02 2853 .229906E-05 2861 .269802E-02
2862 .114942E-01 2871 .540495E-02 2872 .140329E-01 2881 .793897E-02 2882 .145946E-01
2891 .941671E-02 2892 .142108E-01 2901 .922129E-02 2902 .127975E-01 2911 .950847E-02
2912 .130361E-01 2920 .104180E-01 2921 .144845E-01 2929 .106666E-01 2930 .152157E-01
2938 .110014E-01 2939 .161574E-01 2946 .134199E-01 2947 .200857E-01 2954 .146724E-01
2955 .220711E-01 2962 .156584E-01 2963 .235591E-01 2969 .175420E-01 2970 .263250E-01
2976 .185739E-01 2977 .277665E-01 2983 .196827E-01 2984 .293332E-01 2990 .323823E-01
2991 .482963E-01 2997 .481912E-01 2998 .719906E-01 3003 .593217E-01 3004 .878646E-01
3009 .673765E-01 3010 .981045E-01 3015 .761326E-01 3016 .108942E+00 3021 .892451E-01
3022 .125071E+00 3027 .153577E+00 3028 .208778E+00 3034 .247976E+00 3035 .325257E+00
3040 .314365E+00 3041 .396071E+00 3046 .380537E+00 3047 .461333E+00 3052 .475796E+00
3053 .552223E+00 3058 .596583E+00 3059 .653441E+00 3064 .721839E+00 3065 .743903E+00
3069 .855918E+00 3070 .827007E+00 3074 .104841E+01 3075 .946292E+00 3079 .127506E+01
3080 .106900E+01 3084 .149629E+01 3085 .116742E+01 3089 .184737E+01 3090 .132810E+01
3094 .220989E+01 3095 .144627E+01 3099 .252056E+01 3100 .150208E+01 3103 .303677E+01
3104 .164595E+01 3107 .375721E+01 3108 .182899E+01 3110 .234977E+01 3111 .436802E+01
3112 .187975E+01 3114 .186099E+02 3115 .536483E+01 3116 .202532E+01 3118 .236629E+02
3119 .687451E+01 3120 .221243E+01 3122 .322245E+02 3123 .218970E+01 3125 .312647E+02
3126 .197822E+01 3128 .347078E+02 3129 .217872E+01 3131 .817495E+02 3132 .222844E+01
3134 .212178E+03 3136 .165563E+03 3138 .415633E+01
    3   143  0.12000E+03 0.74648E+03 0.34616E+13 0.39157E+12 0.42147E+11
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 -17 .384002E+01  -11 .532308E-02  -10 .753084E+01   -6 .193096E+00   -5 .570690E+01
  -3 .224889E-07   -1 .451740E+01 2702 .205374E-03 2703 .183215E-03 2711 .682705E-03
2712 .414895E-03 2721 .155531E-02 2722 .443977E-03 2730 .851443E-04 2731 .325939E-02
2732 .187477E-03 2742 .111979E-02 2743 .426722E-02 2753 .191041E-02 2754 .229514E-02
2764 .142986E-02 2765 .980719E-03 2775 .174175E-02 2776 .947355E-03 2786 .232746E-02
2787 .979822E-03 2797 .287479E-02 2798 .928405E-03 2808 .349873E-02 2809 .884608E-03
2819 .488343E-02 2820 .903278E-03 2830 .707638E-02 2831 .756017E-03 2840 .605165E-04
2841 .993541E-02 2842 .282367E-03 2851 .792748E-03 2852 .920714E-02 2853 .227985E-05
2861 .269979E-02 2862 .114953E-01 2871 .540836E-02 2872 .140336E-01 2881 .794447E-02
2882 .145949E-01 2891 .942379E-02 2892 .142103E-01 2901 .923024E-02 2902 .127981E-01
2911 .951968E-02 2912 .130371E-01 2920 .104313E-01 2921 .144845E-01 2929 .106824E-01
2930 .152158E-01 2938 .110234E-01 2939 .161622E-01 2946 .134500E-01 2947 .200909E-01
2954 .147039E-01 2955 .220687E-01 2962 .156992E-01 2963 .235594E-01 2969 .175956E-01
2970 .263277E-01 2976 .186348E-01 2977 .277649E-01 2983 .197616E-01 2984 .293420E-01
2990 .325277E-01 2991 .483072E-01 2997 .484499E-01 2998 .720156E-01 3003 .596807E-01
3004 .878493E-01 3009 .678726E-01 3010 .980853E-01 3015 .767928E-01 3016 .108915E+00
3021 .902332E-01 3022 .125114E+00 3027 .155481E+00 3028 .208568E+00 3034 .251743E+00
3035 .324813E+00 3040 .320978E+00 3041 .395950E+00 3046 .390461E+00 3047 .460572E+00
3052 .490764E+00 3053 .550186E+00 3058 .619514E+00 3059 .649517E+00 3064 .756048E+00
3065 .738267E+00 3069 .905308E+00 3070 .818720E+00 3074 .112291E+01 3075 .934267E+00
3077 .319984E+01 3079 .137952E+01 3080 .104682E+01 3082 .178010E+02 3084 .164485E+01
3085 .113986E+01 3087 .247022E+02 3089 .206409E+01 3090 .128457E+01 3092 .244693E+02
3094 .250207E+01 3095 .137292E+01 3097 .236872E+02 3099 .289219E+01 3100 .139736E+01
3102 .241063E+02 3103 .361591E+01 3104 .152722E+01 3106 .261387E+02 3107 .454312E+01
3108 .162826E+01 3110 .254719E+02 3111 .537790E+01 3112 .158518E+01 3114 .244093E+02
3115 .711932E+01 3116 .166922E+01 3118 .280415E+02 3119 .941315E+01 3120 .154531E+01
3122 .469063E+02 3123 .109841E+01 3125 .476552E+02 3126 .456977E+00 3128 .559578E+02
3129 .254766E-01 3131 .167513E+03 3134 .703514E+02 3136 .178407E+02 3138 .100449E+02
3139 .965843E+01 3140 .592292E+01 3141 .294876E+01
    4   180  0.65745E+02 0.46928E+03 0.13589E+13 0.41058E+12 0.10975E+12
 0.19455E-03 0.15699E-03 0.00000E+00 0.35207E-02 0.28976E-02 0.00000E+00 0.00000E+00
 0.12088E-01 0.98765E-02 0.25901E-02 0.21140E-02
 -30 .258747E+00  -27 .459334E+00  -23 .191429E+00  -22 .106487E+02  -18 .251031E-01
 -17 .243302E+02  -11 .614273E-01  -10 .107972E+01   -6 .107294E+00   -5 .470215E+00
  -3 .224889E-07   -2 .196566E-05   -1 .312027E+00 2702 .205374E-03 2703 .183215E-03
2711 .682705E-03 2712 .414895E-03 2721 .155531E-02 2722 .443977E-03 2730 .851443E-04
2731 .325939E-02 2732 .187477E-03 2742 .111979E-02 2743 .426721E-02 2753 .191039E-02
