Evolutionary tracks: tracksZ0.0001.dat                                                       
Metallicity (mass fraction): .0001
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier.dat from   0.0100 to 100.0000 solar masses
  516  4422     1   855 0.5315E-01
    0   246  0.12000E+03 0.81618E+03 0.11675E+14 0.47724E+13 0.12825E+11
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -5 .576346E+01   -3 .154567E-03   -2 .203123E-02   -1 .428199E+03   17 .354882E-06
  18 .545187E-05   22 .208492E-05   23 .183963E-04   25 .311902E-05   26 .195342E-02
  35 .164757E-04   45 .815582E-04   55 .722742E-03   65 .550827E-04   66 .394304E-02
  76 .495689E-03   77 .348237E-02   87 .108587E-02   88 .268952E-02   98 .133663E-02
  99 .250480E-02  109 .128170E-02  110 .193729E-02  120 .178028E-02  121 .217961E-02
 131 .267269E-02  132 .256932E-02  142 .385614E-02  143 .276603E-02  152 .575842E-02
 153 .294470E-02  162 .763695E-02  163 .264226E-02  172 .901964E-02  173 .220092E-02
 182 .104111E-01  183 .188655E-02  192 .100762E-01  193 .158144E-02  202 .109452E-01
 203 .166925E-02  211 .103219E-01  212 .163719E-02  219 .101711E-01  220 .186627E-02
 227 .105119E-01  228 .220952E-02  235 .117202E-01  236 .275198E-02  242 .123347E-01
 243 .314849E-02  249 .127734E-01  250 .352229E-02  256 .137882E-01  257 .414103E-02
 263 .140799E-01  264 .463390E-02  270 .146016E-01  271 .522714E-02  277 .248600E-01
 278 .954843E-02  284 .366033E-01  285 .151816E-01  290 .384566E-01  291 .177094E-01
 296 .373896E-01  297 .197949E-01  301 .433855E-01  302 .256938E-01  307 .466676E-01
 308 .301467E-01  313 .751403E-01  314 .542602E-01  320 .120969E+00  321 .968661E-01
 326 .136329E+00  327 .120645E+00  332 .171763E+00  333 .163737E+00  338 .214440E+00
 339 .207016E+00  344 .280782E+00  345 .267185E+00  350 .340428E+00  351 .309865E+00
 355 .395874E+00  356 .343950E+00  360 .503587E+00  361 .412092E+00  365 .623228E+00
