Evolutionary tracks: tracksZ0.0004.dat                                                       
Metallicity (mass fraction): .0004
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier.dat from   0.0100 to 100.0000 solar masses
  516  4422   427  1311 0.5116E-01
    0   249  0.12000E+03 0.79806E+03 0.10826E+14 0.40584E+13 0.31633E+08
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -3 .517506E-04   -1 .226978E+03  439 .820840E-07  443 .310306E-07  445 .207251E-05
 446 .110047E-04  450 .549569E-05  451 .185973E-04  453 .238396E-04  454 .642156E-03
 465 .816700E-04  476 .499720E-03  486 .437306E-04  487 .239923E-02  497 .346962E-03
 498 .230223E-02  508 .802029E-03  509 .165165E-02  519 .953714E-03  520 .164773E-02
 530 .777275E-03  531 .121648E-02  541 .988217E-03  542 .127620E-02  552 .143771E-02
 553 .152361E-02  563 .199583E-02  564 .169082E-02  574 .307678E-02  575 .198825E-02
 584 .472573E-02  585 .214239E-02  594 .606777E-02  595 .180895E-02  604 .772056E-02
 605 .141837E-02  614 .847997E-02  615 .102112E-02  624 .921372E-02  625 .788407E-03
 634 .844948E-02  635 .664996E-03  643 .898485E-02  644 .773220E-03  652 .885126E-02
 653 .861198E-03  660 .887989E-02  661 .105154E-02  668 .953611E-02  669 .134359E-02
 675 .103686E-01  676 .168502E-02  682 .108029E-01  683 .197263E-02  689 .118000E-01
 690 .239520E-02  696 .125745E-01  697 .279931E-02  703 .129025E-01  704 .312596E-02
 710 .203844E-01  711 .549248E-02  717 .285877E-01  718 .875077E-02  723 .307678E-01
 724 .110433E-01  729 .339432E-01  730 .139525E-01  735 .370650E-01  736 .167650E-01
 741 .422814E-01  742 .204904E-01  747 .745743E-01  748 .388652E-01  754 .114169E+00
 755 .635860E-01  760 .144429E+00  761 .854711E-01  766 .190664E+00  767 .111734E+00
 772 .253170E+00  773 .141273E+00  778 .327942E+00  779 .167541E+00  784 .398077E+00
 785 .184831E+00  789 .508534E+00  790 .210185E+00  794 .618052E+00  795 .222832E+00
 799 .739415E+00  800 .235202E+00  804 .850750E+00  805 .244288E+00  809 .970899E+00
 810 .251612E+00  814 .113873E+01  815 .265542E+00  819 .132634E+01  820 .272364E+00
 823 .153289E+01  824 .271493E+00  827 .176082E+01  828 .265833E+00  831 .206400E+01
 832 .258993E+00  834 .233613E+01  835 .236723E+00  837 .262492E+01  838 .206496E+00
