Evolutionary tracks: tracksZ0.008.dat                                                        
Metallicity (mass fraction): .0080
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier.dat from   0.0100 to 100.0000 solar masses
  516  4422  1766  2674 0.6654E-01
    0   254  0.12000E+03 0.81786E+03 0.99247E+13 0.26251E+13 0.57191E+07
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -3 .181881E-05   -1 .369072E+02 1778 .228754E-06 1779 .101633E-04 1786 .104115E-04
1792 .553016E-04 1793 .696781E-04 1802 .122163E-03 1803 .726280E-04 1810 .378551E-03
1811 .170537E-03 1821 .702729E-04 1822 .140996E-02 1832 .591546E-03 1833 .192399E-02
1843 .101889E-02 1844 .122905E-02 1854 .907345E-03 1855 .775280E-03 1865 .112723E-02
1866 .737456E-03 1876 .137684E-02 1877 .737773E-03 1887 .174556E-02 1888 .790846E-03
1898 .247572E-02 1899 .909274E-03 1909 .344374E-02 1910 .950164E-03 1920 .475234E-02
1921 .879596E-03 1931 .718691E-02 1932 .642678E-03 1940 .249505E-03 1941 .107023E-01
1942 .141084E-03 1950 .138318E-02 1951 .111104E-01 1960 .204223E-02 1961 .798768E-02
1970 .317145E-02 1971 .863809E-02 1980 .390897E-02 1981 .962124E-02 1990 .404545E-02
1991 .988348E-02 1999 .397536E-02 2000 .102857E-01 2008 .405189E-02 2009 .112329E-01
2017 .410858E-02 2018 .122092E-01 2026 .430721E-02 2027 .138591E-01 2034 .417708E-02
2035 .149760E-01 2042 .434584E-02 2043 .171927E-01 2049 .472260E-02 2050 .195995E-01
2056 .477540E-02 2057 .206596E-01 2063 .482274E-02 2064 .217479E-01 2070 .774191E-02
2071 .368189E-01 2077 .124353E-01 2078 .607922E-01 2083 .145043E-01 2084 .712833E-01
2089 .161158E-01 2090 .795240E-01 2095 .187713E-01 2096 .924099E-01 2101 .222878E-01
2102 .107486E+00 2107 .392630E-01 2108 .183191E+00 2114 .678325E-01 2115 .298600E+00
2120 .873544E-01 2121 .356615E+00 2126 .112579E+00 2127 .429350E+00 2132 .144140E+00
2133 .519168E+00 2138 .180440E+00 2139 .614418E+00 2144 .222327E+00 2145 .703406E+00
2149 .269983E+00 2150 .792206E+00 2154 .329373E+00 2155 .908146E+00 2159 .407002E+00
2160 .105785E+01 2164 .481555E+00 2165 .118013E+01 2169 .556588E+00 2170 .128910E+01
2174 .680174E+00 2175 .149026E+01 2179 .796175E+00 2180 .164453E+01 2183 .925551E+00
2184 .180430E+01 2187 .106713E+01 2188 .196978E+01 2191 .128364E+01 2192 .225069E+01
2195 .147610E+01 2196 .247287E+01 2199 .165904E+01 2200 .265879E+01 2202 .204050E+01
2203 .312707E+01 2205 .222888E+01 2206 .326936E+01 2208 .245304E+01 2209 .344563E+01
2211 .546629E+01 2212 .719810E+01 2214 .232188E+02 2216 .283180E+02 2218 .387585E+02
2219 .527905E+02 2220 .662035E+02 2221 .154561E+03 2231 .189310E-06 2232 .841082E-05
2239 .861627E-05 2245 .457659E-04 2246 .576635E-04 2255 .101098E-03 2256 .601047E-04
2263 .313277E-03 2264 .141131E-03 2274 .581557E-04 2275 .116684E-02 2285 .489546E-03
2286 .159224E-02 2296 .843204E-03 2297 .101713E-02 2307 .750891E-03 2308 .641597E-03
2318 .932864E-03 2319 .610296E-03 2329 .113943E-02 2330 .610558E-03 2340 .144457E-02
2341 .654479E-03 2351 .204883E-02 2352 .752487E-03 2362 .284993E-02 2363 .786327E-03
2373 .393289E-02 2374 .727927E-03 2384 .594766E-02 2385 .531861E-03 2393 .206482E-03
2394 .885693E-02 2395 .116757E-03 2403 .114468E-02 2404 .919465E-02 2413 .169009E-02
2414 .661035E-02 2423 .262460E-02 2424 .714862E-02 2433 .323495E-02 2434 .796224E-02
