Evolutionary tracks: tracksZ0.05.dat                                                         
Metallicity (mass fraction): .0500
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier.dat from   0.0100 to 100.0000 solar masses
  516  4422  3142  4047 0.3628E-01
    0   249  0.12000E+03 0.10365E+04 0.10056E+14 0.13553E+13 0.10696E+05
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
3155 .109442E-04 3156 .288670E-04 3165 .805465E-04 3171 .243979E-03 3172 .100167E-03
3180 .577643E-04 3181 .104682E-02 3182 .479669E-04 3189 .474976E-03 3190 .153419E-02
3191 .166556E-06 3201 .456815E-03 3202 .590390E-03 3212 .754110E-03 3213 .534006E-03
3223 .102135E-02 3224 .510620E-03 3234 .134106E-02 3235 .516361E-03 3245 .181777E-02
3246 .540335E-03 3256 .244371E-02 3257 .541675E-03 3267 .281762E-02 3268 .427781E-03
3278 .343538E-02 3279 .241236E-03 3288 .161953E-03 3289 .600419E-02 3290 .508701E-04
3299 .112760E-02 3300 .818283E-02 3310 .293140E-02 3311 .947172E-02 3320 .564035E-02
3321 .105141E-01 3330 .856837E-02 3331 .108760E-01 3340 .111230E-01 3341 .104058E-01
3350 .126306E-01 3351 .945916E-02 3360 .131399E-01 3361 .877845E-02 3369 .140616E-01
3370 .899419E-02 3378 .148544E-01 3379 .935617E-02 3387 .157532E-01 3388 .989402E-02
3396 .171056E-01 3397 .106502E-01 3405 .201530E-01 3406 .124039E-01 3413 .220295E-01
3414 .134202E-01 3421 .235679E-01 3422 .142135E-01 3428 .262225E-01 3429 .156602E-01
3435 .279215E-01 3436 .165164E-01 3442 .296022E-01 3443 .173481E-01 3449 .492560E-01
3450 .285117E-01 3456 .735749E-01 3457 .419395E-01 3462 .858189E-01 3463 .480496E-01
3468 .100223E+00 3469 .551909E-01 3474 .113727E+00 3475 .617057E-01 3480 .128966E+00
3481 .689945E-01 3486 .220329E+00 3487 .115735E+00 3492 .359738E+00 3493 .184220E+00
3498 .445830E+00 3499 .219730E+00 3504 .539411E+00 3505 .255671E+00 3510 .661413E+00
3511 .301151E+00 3516 .807677E+00 3517 .352866E+00 3521 .970948E+00 3522 .405611E+00
3526 .113983E+01 3527 .454479E+00 3531 .135761E+01 3532 .517873E+00 3536 .159597E+01
3537 .582488E+00 3541 .184105E+01 3542 .643301E+00 3546 .220836E+01 3547 .737000E+00
3551 .254097E+01 3552 .808801E+00 3555 .279316E+01 3556 .848392E+00 3559 .323009E+01
3560 .935985E+00 3563 .391857E+01 3564 .108221E+01 3567 .438498E+01 3568 .115158E+01
3571 .495025E+01 3572 .123544E+01 3574 .611917E+01 3575 .144026E+01 3577 .707987E+01
3578 .155885E+01 3580 .743698E+01 3581 .153122E+01 3583 .888253E+01 3584 .169326E+01
3586 .282824E+02 3588 .475724E+02 3590 .126259E+03 3592 .244605E+03 3593 .596195E+02
3613 .834073E-05 3614 .220001E-04 3623 .613858E-04 3631 .185940E-03 3632 .763386E-04
3640 .440231E-04 3641 .797797E-03 3642 .365564E-04 3650 .361987E-03 3651 .116923E-02
