Evolutionary tracks: tracksZ0.1.dat                                                          
Metallicity (mass fraction): .1000
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier.dat from   0.0100 to 100.0000 solar masses
  516  4422  3596  4422 0.3258E-01
    0   236  0.12000E+03 0.11830E+04 0.11508E+14 0.15553E+13 0.40298E+07
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -1 .299097E+02 3613 .342879E-04 3614 .492891E-04 3623 .172909E-03 3630 .262094E-04
3631 .785197E-03 3632 .115882E-03 3640 .572965E-03 3641 .225231E-02 3642 .118729E-04
3650 .213047E-03 3651 .391370E-03 3662 .194207E-03 3663 .201517E-03 3673 .382519E-03
3674 .278834E-03 3684 .599516E-03 3685 .293299E-03 3695 .166008E-02 3696 .510638E-03
3706 .318764E-02 3707 .678040E-03 3716 .132893E-06 3717 .518682E-02 3718 .527393E-03
3727 .327144E-03 3728 .845296E-02 3729 .107390E-03 3738 .251221E-02 3739 .114007E-01
3749 .747316E-02 3750 .131414E-01 3760 .153999E-01 3761 .126560E-01 3771 .231411E-01
3772 .949356E-02 3781 .264721E-01 3782 .607857E-02 3791 .299849E-01 3792 .413688E-02
3801 .321463E-01 3802 .263341E-02 3811 .321174E-01 3812 .194759E-02 3820 .361309E-01
3821 .177526E-02 3829 .403206E-01 3830 .154691E-02 3838 .448263E-01 3839 .125742E-02
3847 .425536E-01 3848 .882840E-03 3856 .289959E-01 3857 .100540E-02 3864 .301991E-01
3865 .180577E-02 3872 .310098E-01 3873 .264060E-02 3880 .315014E-01 3881 .349857E-02
3887 .333584E-01 3888 .458438E-02 3894 .339179E-01 3895 .557501E-02 3901 .340863E-01
3902 .653749E-02 3908 .530373E-01 3909 .121324E-01 3915 .735742E-01 3916 .203504E-01
3921 .998790E-01 3922 .334501E-01 3927 .161046E+00 3928 .551247E-01 3933 .183336E+00
3934 .607956E-01 3939 .209595E+00 3940 .673597E-01 3945 .374223E+00 3946 .115078E+00
3951 .607021E+00 3952 .176555E+00 3957 .748368E+00 3958 .204106E+00 3963 .944499E+00
3964 .244481E+00 3969 .114813E+01 3970 .289215E+00 3974 .138332E+01 3975 .339771E+00
3979 .166726E+01 3980 .392072E+00 3984 .191539E+01 3985 .425471E+00 3989 .224636E+01
3990 .474236E+00 3994 .264805E+01 3995 .536163E+00 3999 .331244E+01 4000 .636202E+00
4004 .389441E+01 4005 .692939E+00 4008 .446625E+01 4009 .732430E+00 4012 .516349E+01
4013 .778138E+00 4016 .620702E+01 4017 .861392E+00 4020 .688087E+01 4021 .876662E+00
4024 .762312E+01 4025 .887951E+00 4027 .903161E+01 4028 .954805E+00 4030 .105890E+02
4031 .100572E+01 4033 .119306E+02 4034 .100390E+01 4036 .141042E+02 4037 .102726E+01
4039 .172268E+02 4041 .366784E+02 4043 .768803E+02 4045 .188382E+03 4046 .313824E+03
4047 .120845E+03 4057 .369903E-03 4058 .147554E-02 4068 .140591E-03 4069 .102483E-03
4079 .220346E-03 4080 .107799E-03 4090 .610147E-03 4091 .187680E-03 4101 .117158E-02
4102 .249207E-03 4111 .488434E-07 4112 .190636E-02 4113 .193838E-03 4122 .120239E-03
4123 .310680E-02 4124 .394702E-04 4133 .923336E-03 4134 .419023E-02 4144 .274669E-02
4145 .483000E-02 4155 .566007E-02 4156 .465158E-02 4165 .850530E-02 4166 .348926E-02
4175 .972955E-02 4176 .223412E-02 4185 .110206E-01 4186 .152047E-02 4195 .118150E-01
4196 .967884E-03 4205 .118044E-01 4206 .715817E-03 4215 .132796E-01 4216 .652478E-03
4224 .148194E-01 4225 .568550E-03 4233 .164755E-01 4234 .462152E-03 4242 .156401E-01
4243 .324479E-03 4251 .106572E-01 4252 .369525E-03 4259 .110994E-01 4260 .663693E-03
4267 .113974E-01 4268 .970525E-03 4274 .115780E-01 4275 .128587E-02 4281 .122605E-01
4282 .168494E-02 4288 .124662E-01 4289 .204904E-02 4295 .125281E-01 4296 .240279E-02
4302 .194933E-01 4303 .445916E-02 4308 .270415E-01 4309 .747960E-02 4314 .367095E-01
4315 .122942E-01 4319 .591910E-01 4320 .202605E-01 4324 .673834E-01 4325 .223448E-01
4329 .770346E-01 4330 .247574E-01 4334 .137542E+00 4335 .422958E-01 4339 .223105E+00
4340 .648910E-01 4344 .275055E+00 4345 .750171E-01 4349 .347141E+00 4350 .898567E-01
4354 .421982E+00 4355 .106298E+00 4359 .508424E+00 4360 .124879E+00 4364 .612785E+00
4365 .144102E+00 4369 .703983E+00 4370 .156378E+00 4374 .825629E+00 4375 .174301E+00
4378 .973264E+00 4379 .197061E+00 4382 .121746E+01 4383 .233830E+00 4386 .143135E+01
4387 .254683E+00 4390 .164153E+01 4391 .269197E+00 4394 .189779E+01 4395 .285997E+00
4398 .228133E+01 4399 .316596E+00 4401 .252899E+01 4402 .322208E+00 4404 .280180E+01
4405 .326357E+00 4407 .331948E+01 4408 .350929E+00 4410 .389189E+01 4411 .369642E+00
4413 .475396E+01 4415 .556142E+01 4417 .633154E+01 4419 .134808E+02 4421 .282566E+02
4422 .199087E+03
    1   229  0.12000E+03 0.12651E+04 0.85962E+13 0.40350E+12 0.45705E+03
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
3613 .342879E-04 3614 .492891E-04 3623 .172909E-03 3630 .262094E-04 3631 .785197E-03
3632 .115882E-03 3640 .572964E-03 3641 .225231E-02 3642 .118729E-04 3650 .213043E-03
3651 .391366E-03 3662 .194198E-03 3663 .201510E-03 3673 .382498E-03 3674 .278824E-03
3684 .599476E-03 3685 .293289E-03 3695 .165947E-02 3696 .510479E-03 3706 .318649E-02
3707 .677907E-03 3716 .127692E-06 3717 .518202E-02 3718 .527401E-03 3727 .325311E-03
3728 .844271E-02 3729 .107663E-03 3738 .249594E-02 3739 .113725E-01 3749 .738139E-02
3750 .130719E-01 3760 .150999E-01 3761 .125841E-01 3771 .205557E-01 3772 .894689E-02
3781 .247167E-01 3782 .639146E-02 3791 .265690E-01 3792 .457583E-02 3801 .304097E-01
3802 .355834E-02 3811 .284236E-01 3812 .264434E-02 3820 .311176E-01 3821 .270820E-02
3829 .343840E-01 3830 .281017E-02 3838 .377781E-01 3839 .289382E-02 3847 .412830E-01
3848 .296229E-02 3856 .385704E-01 3857 .268889E-02 3864 .317187E-01 3865 .275528E-02
3872 .323245E-01 3873 .357189E-02 3880 .331311E-01 3881 .445226E-02 3887 .352471E-01
3888 .559341E-02 3894 .358329E-01 3895 .656822E-02 3901 .364083E-01 3902 .758287E-02
3908 .567369E-01 3909 .137191E-01 3915 .794592E-01 3916 .226348E-01 3921 .105571E+00
3922 .354779E-01 3927 .162047E+00 3928 .553434E-01 3933 .183716E+00 3934 .607377E-01
3939 .210481E+00 3940 .673925E-01 3945 .376125E+00 3946 .115059E+00 3951 .610799E+00
3952 .176327E+00 3957 .753565E+00 3958 .203434E+00 3963 .953547E+00 3964 .242666E+00
3969 .116345E+01 3970 .283590E+00 3974 .141302E+01 3975 .329523E+00 3979 .172070E+01
3980 .368596E+00 3984 .199510E+01 3985 .380659E+00 3989 .234459E+01 3990 .410439E+00
3994 .286629E+01 3995 .456048E+00 3999 .351365E+01 4000 .497655E+00 4004 .410487E+01
4005 .513964E+00 4008 .473078E+01 4009 .518715E+00 4012 .537615E+01 4013 .517257E+00
4016 .809632E+01 4017 .561768E+00 4019 .143831E-02 4020 .984958E+01 4021 .275280E+00
4023 .135012E+00 4024 .109852E+02 4025 .246797E-01 4027 .123720E+02 4030 .142592E+02
4033 .172265E+02 4036 .218193E+02 4039 .239035E+02 4041 .239508E+03 4043 .478257E+03
4045 .491535E+02 4057 .369898E-03 4058 .147554E-02 4068 .140583E-03 4069 .102479E-03
4079 .220331E-03 4080 .107796E-03 4090 .609922E-03 4091 .187621E-03 4101 .117116E-02
4102 .249158E-03 4111 .469319E-07 4112 .190460E-02 4113 .193841E-03 4122 .119565E-03
4123 .310303E-02 4124 .395705E-04 4133 .917356E-03 4134 .417984E-02 4144 .271296E-02
4145 .480444E-02 4155 .554982E-02 4156 .462515E-02 4165 .755503E-02 4166 .328834E-02
4175 .908438E-02 4176 .234912E-02 4185 .976517E-02 4186 .168180E-02 4195 .111768E-01
4196 .130783E-02 4205 .104468E-01 4206 .971900E-03 4215 .114370E-01 4216 .995373E-03
4224 .126375E-01 4225 .103285E-02 4233 .138850E-01 4234 .106359E-02 4242 .151732E-01
4243 .108876E-02 4251 .141762E-01 4252 .988274E-03 4259 .116579E-01 4260 .101268E-02
4267 .118805E-01 4268 .131281E-02 4274 .121770E-01 4275 .163638E-02 4281 .129547E-01
4282 .205580E-02 4288 .131700E-01 4289 .241409E-02 4295 .133815E-01 4296 .278701E-02
4302 .208531E-01 4303 .504231E-02 4308 .292044E-01 4309 .831921E-02 4314 .388016E-01
4315 .130396E-01 4319 .595586E-01 4320 .203409E-01 4324 .675232E-01 4325 .223235E-01
4329 .773601E-01 4330 .247695E-01 4334 .138241E+00 4335 .422886E-01 4339 .224493E+00
4340 .648072E-01 4344 .276965E+00 4345 .747700E-01 4349 .350467E+00 4350 .891895E-01
4354 .427614E+00 4355 .104231E+00 4359 .519340E+00 4360 .121113E+00 4364 .632426E+00
4365 .135474E+00 4369 .733278E+00 4370 .139907E+00 4374 .861732E+00 4375 .150853E+00
4378 .105348E+01 4379 .167616E+00 4382 .129141E+01 4383 .182908E+00 4386 .150870E+01
4387 .188902E+00 4390 .173875E+01 4391 .190649E+00 4394 .197595E+01 4395 .190113E+00
4398 .297572E+01 4399 .206472E+00 4401 .362064E+01 4402 .101176E+00 4404 .408713E+01
4405 .907079E-02 4407 .454722E+01 4410 .524082E+01 4413 .633142E+01 4415 .801946E+01
4417 .878548E+01 4419 .880289E+02 4421 .175779E+03 4422 .180659E+02
    2   223  0.12000E+03 0.13707E+04 0.32870E+13 0.17615E+11 0.58803E+01
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
3613 .342879E-04 3614 .492891E-04 3623 .172909E-03 3630 .262094E-04 3631 .785197E-03
3632 .115882E-03 3640 .572964E-03 3641 .225231E-02 3642 .118729E-04 3650 .213040E-03
3651 .391361E-03 3662 .194189E-03 3663 .201502E-03 3673 .382477E-03 3674 .278814E-03
3684 .599435E-03 3685 .293280E-03 3695 .165886E-02 3696 .510320E-03 3706 .318535E-02
3707 .677774E-03 3716 .122404E-06 3717 .517722E-02 3718 .527409E-03 3727 .323473E-03
3728 .843245E-02 3729 .107935E-03 3738 .247962E-02 3739 .113442E-01 3749 .729362E-02
3750 .130055E-01 3760 .148146E-01 3761 .125132E-01 3771 .185182E-01 3772 .848156E-02
3781 .230176E-01 3782 .654833E-02 3791 .239945E-01 3792 .486940E-02 3801 .282855E-01
3802 .429052E-02 3811 .263660E-01 3812 .326647E-02 3820 .272185E-01 3821 .330734E-02
3829 .297640E-01 3830 .361993E-02 3838 .324497E-01 3839 .395006E-02 3847 .351697E-01
3848 .428478E-02 3856 .377778E-01 3857 .460632E-02 3864 .375454E-01 3865 .468774E-02
3872 .338956E-01 3873 .483121E-02 3880 .347556E-01 3881 .569320E-02 3887 .372007E-01
3888 .689120E-02 3894 .382226E-01 3895 .790945E-02 3901 .387814E-01 3902 .887281E-02
3908 .610977E-01 3909 .157548E-01 3915 .862131E-01 3916 .254255E-01 3921 .112258E+00
3922 .379026E-01 3927 .163084E+00 3928 .555742E-01 3933 .184096E+00 3934 .606784E-01
3939 .211400E+00 3940 .674331E-01 3945 .378139E+00 3946 .115062E+00 3951 .614366E+00
3952 .176017E+00 3957 .759314E+00 3958 .202868E+00 3963 .962229E+00 3964 .240579E+00
3969 .117936E+01 3970 .277762E+00 3974 .144397E+01 3975 .318756E+00 3979 .177673E+01
3980 .343572E+00 3984 .211340E+01 3985 .337347E+00 3989 .261138E+01 3990 .338219E+00
3994 .321055E+01 3995 .332201E+00 3999 .400464E+01 4000 .316339E+00 4004 .472272E+01
4005 .257088E+00 4008 .553718E+01 4009 .174803E+00 4011 .218958E-01 4012 .695631E+01
4013 .716327E-01 4015 .837270E+02 4016 .102658E+02 4017 .474127E-02 4019 .181034E+03
4020 .112903E+02 4023 .126072E+03 4024 .109793E+02 4027 .120424E+03 4030 .109208E+03
4033 .754029E+02 4036 .142808E+03 4039 .895605E+02 4057 .369893E-03 4058 .147553E-02
4068 .140576E-03 4069 .102475E-03 4079 .220316E-03 4080 .107792E-03 4090 .609698E-03
4091 .187563E-03 4101 .117074E-02 4102 .249109E-03 4111 .449882E-07 4112 .190284E-02
4113 .193844E-03 4122 .118889E-03 4123 .309926E-02 4124 .396705E-04 4133 .911358E-03
