Evolutionary tracks: tracksZ0.0001.dat                                                       
Metallicity (mass fraction): .0001
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier_x=-0.1.dat from   0.0100 to 100.0000 solar masses
  516  4422     1   855 0.1156E+01
    0   246  0.12000E+03 0.67263E+04 0.11129E+15 0.49522E+14 0.23017E+12
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -5 .103611E+03   -3 .477432E-05   -2 .973815E-02   -1 .490887E+04   17 .109618E-07
  18 .168400E-06   22 .643998E-07   23 .568234E-06   25 .963415E-07   26 .603380E-04
  35 .508907E-06   45 .251920E-05   55 .223243E-04   65 .170142E-05   66 .121794E-03
  76 .153110E-04   77 .107565E-03   87 .335407E-04   88 .830750E-04   98 .412865E-04
  99 .773693E-04  109 .395895E-04  110 .598398E-04  120 .549901E-04  121 .673247E-04
 131 .825550E-04  132 .793624E-04  142 .119110E-03  143 .854384E-04  152 .177868E-03
 153 .909571E-04  162 .235893E-03  163 .816153E-04  172 .278602E-03  173 .679829E-04
 182 .322669E-03  183 .584450E-04  192 .324624E-03  193 .509326E-04  202 .372201E-03
 203 .567520E-04  211 .368440E-03  212 .584931E-04  219 .379107E-03  220 .696301E-04
 227 .408059E-03  228 .858425E-04  235 .473792E-03  236 .111320E-03  242 .519091E-03
 243 .132570E-03  249 .559208E-03  250 .154277E-03  256 .627348E-03  257 .188527E-03
 263 .665275E-03  264 .219073E-03  270 .716277E-03  271 .256531E-03  277 .128254E-02
 278 .492928E-03  284 .201329E-02  285 .836041E-03  290 .227370E-02  291 .104855E-02
 296 .236553E-02  297 .125422E-02  301 .293270E-02  302 .173853E-02  307 .337072E-02
 308 .217954E-02  313 .592870E-02  314 .428943E-02  320 .106583E-01  321 .855432E-02
 326 .136548E-01  327 .121084E-01  332 .196328E-01  333 .187293E-01  338 .280117E-01
 339 .270440E-01  344 .422650E-01  345 .401830E-01  350 .589470E-01  351 .535958E-01
 355 .785566E-01  356 .681829E-01  360 .114351E+00  361 .934178E-01  365 .162084E+00
 366 .122248E+00  370 .220032E+00  371 .153402E+00  375 .292352E+00  376 .189311E+00
 380 .385993E+00  381 .232790E+00  385 .488470E+00  386 .274803E+00  389 .650445E+00
 390 .338819E+00  393 .850578E+00  394 .404400E+00  397 .109353E+01  398 .472765E+00
 401 .141461E+01  402 .555322E+00  405 .180983E+01  406 .641548E+00  408 .234882E+01
 409 .748393E+00  411 .279453E+01  412 .800225E+00  414 .354954E+01  415 .910087E+00
 417 .889193E+01  418 .191756E+01  419 .191973E+02  420 .328031E+01  421 .275498E+03
 422 .393487E+01  423 .493419E+01  424 .553999E+01  425 .552497E+01  426 .899588E+03
 445 .405585E-08  446 .623079E-07  450 .238279E-07  451 .210246E-06  453 .466500E-07
 454 .133765E-04  465 .482070E-06  476 .193602E-05  487 .132040E-04  497 .629525E-06
