Evolutionary tracks: tracksZ0.05.dat                                                         
Metallicity (mass fraction): .0500
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier_x=-0.1.dat from   0.0100 to 100.0000 solar masses
  516  4422  3142  4047 0.1455E+01
    0   249  0.12000E+03 0.83769E+04 0.93697E+14 0.13407E+14 0.10412E+06
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
3155 .338048E-06 3156 .891657E-06 3165 .248795E-05 3171 .753611E-05 3172 .309398E-05
3180 .178425E-05 3181 .323345E-04 3182 .148162E-05 3189 .146712E-04 3190 .473887E-04
3191 .514464E-08 3201 .141103E-04 3202 .182362E-04 3212 .232933E-04 3213 .164946E-04
3223 .315478E-04 3224 .157723E-04 3234 .414232E-04 3235 .159496E-04 3245 .561479E-04
3246 .166901E-04 3256 .754822E-04 3257 .167315E-04 3267 .870320E-04 3268 .132135E-04
3278 .106117E-03 3279 .745142E-05 3288 .535438E-05 3289 .191413E-03 3290 .157160E-05
3299 .402446E-04 3300 .286457E-03 3310 .115857E-03 3311 .369975E-03 3320 .247900E-03
3321 .458149E-03 3330 .417510E-03 3331 .526928E-03 3340 .596999E-03 3341 .556196E-03
3350 .736886E-03 3351 .550615E-03 3360 .824429E-03 3361 .550383E-03 3369 .940149E-03
3370 .601193E-03 3378 .105375E-02 3379 .663675E-03 3387 .118089E-02 3388 .741649E-03
3396 .135258E-02 3397 .842048E-03 3405 .168138E-02 3406 .103476E-02 3413 .193913E-02
3414 .118119E-02 3421 .218692E-02 3422 .131880E-02 3428 .256128E-02 3429 .152948E-02
3435 .286645E-02 3436 .169546E-02 3442 .318999E-02 3443 .186933E-02 3449 .565239E-02
3450 .327132E-02 3456 .911029E-02 3457 .519171E-02 3462 .116038E-01 3463 .649527E-02
3468 .147597E-01 3469 .812609E-02 3474 .182194E-01 3475 .988352E-02 3480 .223980E-01
3481 .119803E-01 3486 .424978E-01 3487 .223146E-01 3492 .786468E-01 3493 .402410E-01
3498 .112078E+00 3499 .551885E-01 3504 .154842E+00 3505 .733308E-01 3510 .215499E+00
