Evolutionary tracks: tracksZ0.1.dat                                                          
Metallicity (mass fraction): .1000
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier_x=-0.1.dat from   0.0100 to 100.0000 solar masses
  516  4422  3596  4422 0.1108E+01
    0   236  0.12000E+03 0.86379E+04 0.97248E+14 0.13971E+14 0.35933E+08
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -1 .266701E+03 3613 .105910E-05 3614 .152246E-05 3623 .534089E-05 3630 .809566E-06
3631 .242535E-04 3632 .357941E-05 3640 .176980E-04 3641 .695704E-04 3642 .366734E-06
3650 .658069E-05 3651 .120888E-04 3662 .599875E-05 3663 .622454E-05 3673 .118154E-04
3674 .861273E-05 3684 .185181E-04 3685 .905953E-05 3695 .512773E-04 3696 .157728E-04
3706 .984610E-04 3707 .209436E-04 3716 .410485E-08 3717 .160213E-03 3718 .162903E-04
3727 .101050E-04 3728 .261098E-03 3729 .331712E-05 3738 .776836E-04 3739 .352327E-03
3749 .248727E-03 3750 .429428E-03 3760 .595304E-03 3761 .479892E-03 3771 .102982E-02
3772 .416273E-03 3781 .131975E-02 3782 .300266E-03 3791 .164633E-02 3792 .225405E-03
3801 .191006E-02 3802 .155555E-03 3811 .204525E-02 3812 .123771E-03 3820 .244822E-02
3821 .120014E-03 3829 .289919E-02 3830 .110929E-03 3838 .341572E-02 3839 .954915E-04
3847 .340836E-02 3848 .706420E-04 3856 .241658E-02 3857 .840905E-04 3864 .259231E-02
3865 .155327E-03 3872 .273813E-02 3873 .233490E-03 3880 .285913E-02 3881 .317868E-03
3887 .310963E-02 3888 .427727E-03 3894 .324521E-02 3895 .533788E-03 3901 .334491E-02
3902 .641901E-03 3908 .537519E-02 3909 .123101E-02 3915 .775295E-02 3916 .214789E-02
3921 .111155E-01 3922 .372656E-02 3927 .191213E-01 3928 .654251E-02 3933 .235084E-01
3934 .779248E-02 3939 .289419E-01 3940 .929776E-02 3945 .570341E-01 3946 .175222E-01
3951 .104063E+00 3952 .302229E-01 3957 .146183E+00 3958 .398159E-01 3963 .209172E+00
3964 .541042E-01 3969 .287180E+00 3970 .723064E-01 3974 .389719E+00 3975 .956676E-01
3979 .526892E+00 3980 .123772E+00 3984 .676252E+00 3985 .150066E+00 3989 .881728E+00
3990 .186002E+00 3994 .115347E+01 3995 .233381E+00 3999 .160374E+01 4000 .307649E+00
4004 .209925E+01 4005 .372985E+00 4008 .267441E+01 4009 .437949E+00 4012 .343205E+01
4013 .516470E+00 4016 .458106E+01 4017 .634786E+00 4020 .563973E+01 4021 .717449E+00
4024 .692420E+01 4025 .805309E+00 4027 .909941E+01 4028 .960266E+00 4030 .118670E+02
4031 .112474E+01 4033 .149199E+02 4034 .125249E+01 4036 .197436E+02 4037 .143352E+01
4039 .271364E+02 4041 .704530E+02 4043 .226124E+03 4045 .198233E+04 4046 .287524E+04
4047 .103836E+04 4057 .114257E-04 4058 .455771E-04 4068 .434264E-05 4069 .316552E-05
4079 .680614E-05 4080 .332974E-05 4090 .188465E-04 4091 .579713E-05 4101 .361884E-04
4102 .769761E-05 4111 .150870E-08 4112 .588845E-04 4113 .598735E-05 4122 .371398E-05
4123 .959641E-04 4124 .121917E-05 4133 .285518E-04 4134 .129494E-03 4144 .914172E-04
4145 .157832E-03 4155 .218798E-03 4156 .176380E-03 4165 .378501E-03 4166 .152997E-03
4175 .485061E-03 4176 .110360E-03 4185 .605092E-03 4186 .828452E-04 4195 .702024E-03
4196 .571726E-04 4205 .751711E-03 4206 .454909E-04 4215 .899820E-03 4216 .441098E-04
4224 .106557E-02 4225 .407707E-04 4233 .125541E-02 4234 .350969E-04 4242 .125271E-02
4243 .259638E-04 4251 .888189E-03 4252 .309066E-04 4259 .952778E-03 4260 .570889E-04
4267 .100637E-02 4268 .858168E-04 4274 .105084E-02 4275 .116829E-03 4281 .114291E-02
4282 .157207E-03 4288 .119275E-02 4289 .196189E-03 4295 .122939E-02 4296 .235924E-03
4302 .197560E-02 4303 .452445E-03 4308 .284952E-02 4309 .789436E-03 4314 .408540E-02
4315 .136966E-02 4319 .702786E-02 4320 .240463E-02 4324 .864029E-02 4325 .286405E-02
4329 .106373E-01 4330 .341730E-02 4334 .209623E-01 4335 .644012E-02 4339 .382475E-01
4340 .111081E-01 4344 .537282E-01 4345 .146339E-01 4349 .768792E-01 4350 .198855E-01
4354 .105550E+00 4355 .265755E-01 4359 .143237E+00 4360 .351617E-01 4364 .193654E+00
4365 .454910E-01 4369 .248550E+00 4370 .551553E-01 4374 .324070E+00 4375 .683632E-01
4378 .423945E+00 4379 .857770E-01 4382 .589439E+00 4383 .113073E+00 4386 .771560E+00
4387 .137087E+00 4390 .982954E+00 4391 .160964E+00 4394 .126141E+01 4395 .189824E+00
4398 .168372E+01 4399 .233309E+00 4401 .207283E+01 4402 .263691E+00 4404 .254492E+01
4405 .295983E+00 4407 .334440E+01 4408 .352936E+00 4410 .436161E+01 4411 .413388E+00
4413 .594402E+01 4415 .778343E+01 4417 .997373E+01 4419 .258943E+02 4421 .831097E+02
4422 .190029E+04
    1   229  0.12000E+03 0.87815E+04 0.65317E+14 0.30207E+13 0.31696E+04
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
3613 .105910E-05 3614 .152246E-05 3623 .534089E-05 3630 .809566E-06 3631 .242535E-04
3632 .357941E-05 3640 .176980E-04 3641 .695703E-04 3642 .366734E-06 3650 .658057E-05
3651 .120887E-04 3662 .599847E-05 3663 .622431E-05 3673 .118148E-04 3674 .861243E-05
3684 .185168E-04 3685 .905924E-05 3695 .512584E-04 3696 .157679E-04 3706 .984256E-04
3707 .209395E-04 3716 .394420E-08 3717 .160064E-03 3718 .162906E-04 3727 .100484E-04
3728 .260782E-03 3729 .332554E-05 3738 .771741E-04 3739 .351441E-03 3749 .245309E-03
3750 .426676E-03 3760 .581976E-03 3761 .475976E-03 3771 .904691E-03 3772 .388847E-03
3781 .121240E-02 3782 .311156E-03 3791 .142849E-02 3792 .244778E-03 3801 .176638E-02
3802 .205720E-03 3811 .176440E-02 3812 .164015E-03 3820 .204708E-02 3821 .178056E-03
3829 .238920E-02 3830 .195154E-03 3838 .276916E-02 3839 .211999E-03 3847 .318428E-02
3848 .228363E-03 3856 .311193E-02 3857 .217027E-03 3864 .265809E-02 3865 .231235E-03
3872 .279411E-02 3873 .309088E-03 3880 .295096E-02 3881 .396903E-03 3887 .323256E-02
3888 .513373E-03 3894 .338087E-02 3895 .620111E-03 3901 .353133E-02 3902 .735874E-03
3908 .570067E-02 3909 .137990E-02 3915 .833123E-02 3916 .237686E-02 3921 .117316E-01
3922 .394626E-02 3927 .192506E-01 3928 .657195E-02 3933 .235774E-01 3934 .779166E-02
3939 .290934E-01 3940 .931153E-02 3945 .573982E-01 3946 .175412E-01 3951 .104888E+00
3952 .302328E-01 3957 .147511E+00 3958 .397665E-01 3963 .211719E+00 3964 .538265E-01
3969 .291857E+00 3970 .710811E-01 3974 .399321E+00 3975 .930258E-01 3979 .545539E+00
3980 .116610E+00 3984 .705981E+00 3985 .134436E+00 3989 .921416E+00 3990 .161101E+00
3994 .124951E+01 3995 .198412E+00 3999 .169994E+01 4000 .240279E+00 4004 .220438E+01
