Evolutionary tracks: tracksZ0.004.dat                                                        
Metallicity (mass fraction): .0040
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier_x=-0.5.dat from   0.0100 to 100.0000 solar masses
  516  4422  1312  2221 0.3197E+01
    0   254  0.12000E+03 0.76085E+04 0.11587E+15 0.40088E+14 0.21789E+09
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -3 .484131E-07   -1 .154624E+04 1323 .324862E-09 1324 .304755E-07 1331 .339417E-07
1337 .188417E-06 1338 .321358E-06 1347 .470152E-06 1348 .442574E-06 1355 .102779E-05
1356 .181450E-05 1366 .623071E-08 1367 .532996E-05 1377 .157037E-05 1378 .147568E-04
1388 .496931E-05 1389 .993491E-05 1399 .644557E-05 1400 .736565E-05 1410 .617994E-05
1411 .579561E-05 1421 .750129E-05 1422 .576792E-05 1432 .940645E-05 1433 .607777E-05
1443 .120205E-04 1444 .658396E-05 1454 .176338E-04 1455 .789287E-05 1465 .248071E-04
1466 .836818E-05 1476 .378044E-04 1477 .808454E-05 1486 .553174E-04 1487 .515800E-05
1495 .931359E-06 1496 .752307E-04 1497 .106281E-05 1505 .660413E-05 1506 .845885E-04
1515 .146532E-04 1516 .940326E-04 1525 .196896E-04 1526 .985034E-04 1535 .239575E-04
1536 .109221E-03 1544 .238625E-04 1545 .116466E-03 1553 .239323E-04 1554 .132912E-03
1562 .233370E-04 1563 .147490E-03 1570 .241205E-04 1571 .173944E-03 1578 .249621E-04
1579 .207765E-03 1586 .244661E-04 1587 .238012E-03 1593 .252174E-04 1594 .291130E-03
1600 .240698E-04 1601 .330658E-03 1607 .219127E-04 1608 .366879E-03 1614 .278471E-04
1615 .642709E-03 1621 .258497E-04 1622 .106622E-02 1627 .143773E-04 1628 .155319E-02
1633 .106835E-04 1634 .207893E-02 1639 .103068E-04 1640 .257663E-02 1645 .946181E-05
1646 .321769E-02 1651 .334587E-04 1652 .668506E-02 1658 .175264E-03 1659 .129717E-01
1664 .549662E-03 1665 .205535E-01 1670 .126046E-02 1671 .297714E-01 1676 .250085E-02
1677 .431771E-01 1682 .462287E-02 1683 .633518E-01 1688 .762286E-02 1689 .865091E-01
1693 .122769E-01 1694 .115392E+00 1698 .194722E-01 1699 .154544E+00 1703 .306406E-01
1704 .214688E+00 1708 .448062E-01 1709 .282206E+00 1713 .652353E-01 1714 .365603E+00
1718 .938663E-01 1719 .472367E+00 1723 .133794E+00 1724 .609164E+00 1727 .195841E+00
1728 .808818E+00 1731 .270764E+00 1732 .102022E+01 1735 .369161E+00 1736 .127714E+01
1739 .502518E+00 1740 .160869E+01 1743 .667162E+00 1744 .198782E+01 1746 .903901E+00
1747 .251546E+01 1749 .120254E+01 1750 .313943E+01 1752 .158831E+01 1753 .390387E+01
1755 .421301E+01 1756 .946434E+01 1758 .334084E+02 1760 .565752E+02 1762 .105654E+03
1763 .205073E+03 1764 .403117E+03 1765 .241655E+04 1778 .167999E-09 1779 .269595E-07
1786 .275311E-07 1792 .162079E-06 1793 .277470E-06 1802 .404432E-06 1803 .380709E-06
1810 .884124E-06 1811 .156086E-05 1821 .535975E-08 1822 .458491E-05 1832 .135085E-05
1833 .126941E-04 1843 .427468E-05 1844 .854616E-05 1854 .554457E-05 1855 .633605E-05
1865 .531608E-05 1866 .498547E-05 1876 .645272E-05 1877 .496165E-05 1887 .809157E-05
1888 .522819E-05 1898 .103403E-04 1899 .566362E-05 1909 .151689E-04 1910 .678957E-05
1920 .213394E-04 1921 .719843E-05 1931 .325199E-04 1932 .695444E-05 1941 .475848E-04
1942 .443699E-05 1950 .801169E-06 1951 .647146E-04 1952 .914246E-06 1960 .568097E-05
1961 .727643E-04 1970 .126049E-04 1971 .808882E-04 1980 .169373E-04 1981 .847341E-04
1990 .206086E-04 1991 .939534E-04 1999 .205269E-04 2000 .100186E-03 2008 .205869E-04
2009 .114333E-03 2017 .200748E-04 2018 .126873E-03 2026 .207488E-04 2027 .149629E-03
2034 .214728E-04 2035 .178722E-03 2042 .210461E-04 2043 .204742E-03 2049 .216924E-04
2050 .250435E-03 2056 .207052E-04 2057 .284437E-03 2063 .188496E-04 2064 .315595E-03
2070 .239545E-04 2071 .552868E-03 2077 .222363E-04 2078 .917177E-03 2083 .123675E-04
2084 .133608E-02 2089 .919007E-05 2090 .178832E-02 2095 .886606E-05 2096 .221646E-02
2101 .813920E-05 2102 .276791E-02 2107 .287817E-04 2108 .575059E-02 2114 .150765E-03
2115 .111584E-01 2120 .472828E-03 2121 .176805E-01 2126 .108426E-02 2127 .256098E-01
2132 .215127E-02 2133 .371416E-01 2138 .397667E-02 2139 .544962E-01 2144 .655730E-02
2145 .744164E-01 2149 .105608E-01 2150 .992622E-01 2154 .167503E-01 2155 .132941E+00
2159 .263575E-01 2160 .184678E+00 2164 .385429E-01 2165 .242758E+00 2169 .561164E-01
2170 .314497E+00 2174 .807452E-01 2175 .406338E+00 2179 .115092E+00 2180 .524012E+00
2183 .168465E+00 2184 .695757E+00 2187 .232915E+00 2188 .877607E+00 2191 .317558E+00
2192 .109862E+01 2195 .432274E+00 2196 .138382E+01 2199 .573903E+00 2200 .170996E+01
2202 .777549E+00 2203 .216383E+01 2205 .103444E+01 2206 .270059E+01 2208 .136629E+01
2209 .335817E+01 2211 .362410E+01 2212 .814137E+01 2214 .287384E+02 2216 .486668E+02
2218 .908850E+02 2219 .176407E+03 2220 .346767E+03 2221 .207875E+04
    1   256  0.12000E+03 0.85482E+04 0.12295E+15 0.37209E+14 0.30357E+08
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -3 .484131E-07   -1 .141676E+03 1323 .324862E-09 1324 .304755E-07 1331 .339417E-07
1337 .188417E-06 1338 .321358E-06 1347 .470152E-06 1348 .442574E-06 1355 .102779E-05
1356 .181450E-05 1366 .623071E-08 1367 .532996E-05 1377 .157037E-05 1378 .147568E-04
1388 .496929E-05 1389 .993487E-05 1399 .644557E-05 1400 .736551E-05 1410 .618007E-05
1411 .579551E-05 1421 .750143E-05 1422 .576775E-05 1432 .940650E-05 1433 .607742E-05
1443 .120206E-04 1444 .658349E-05 1454 .176343E-04 1455 .789231E-05 1465 .248082E-04
1466 .836733E-05 1476 .378034E-04 1477 .808264E-05 1486 .553219E-04 1487 .515541E-05
1495 .934907E-06 1496 .752343E-04 1497 .106040E-05 1505 .661315E-05 1506 .845885E-04
1507 .468778E-11 1515 .146667E-04 1516 .940349E-04 1525 .197047E-04 1526 .984987E-04
1535 .239726E-04 1536 .109203E-03 1544 .238858E-04 1545 .116463E-03 1553 .239619E-04
1554 .132919E-03 1562 .233746E-04 1563 .147515E-03 1570 .241451E-04 1571 .173788E-03
1578 .250324E-04 1579 .207838E-03 1586 .245382E-04 1587 .237980E-03 1593 .253248E-04
1594 .291163E-03 1600 .242220E-04 1601 .330826E-03 1607 .221002E-04 1608 .367044E-03
1614 .282201E-04 1615 .643005E-03 1621 .265673E-04 1622 .106724E-02 1627 .157086E-04
1628 .155529E-02 1633 .130460E-04 1634 .208298E-02 1639 .139785E-04 1640 .258074E-02
1645 .149449E-04 1646 .322536E-02 1651 .483133E-04 1652 .671066E-02 1658 .214471E-03
1659 .130312E-01 1664 .639703E-03 1665 .206764E-01 1670 .143819E-02 1671 .299377E-01
