Evolutionary tracks: tracksZ0.0001.dat                                                       
Metallicity (mass fraction): .0001
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier_x=-1.dat from   0.0100 to 100.0000 solar masses
  516  4422     1   855 0.1391E+01
    0   246  0.12000E+03 0.87044E+04 0.14818E+15 0.67549E+14 0.40066E+12
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -5 .180455E+03   -3 .138567E-06   -2 .723979E-02   -1 .698497E+04   17 .318147E-09
  18 .488752E-08   22 .186910E-08   23 .164920E-07   25 .279615E-08   26 .175121E-05
  35 .147702E-07   45 .731157E-07   55 .647927E-06   65 .493808E-07   66 .353488E-05
  76 .444378E-06   77 .312189E-05   87 .973462E-06   88 .241111E-05   98 .119827E-05
  99 .224552E-05  109 .114902E-05  110 .173675E-05  120 .159600E-05  121 .195399E-05
 131 .239602E-05  132 .230336E-05  142 .345697E-05  143 .247971E-05  152 .516234E-05
 153 .263988E-05  162 .684641E-05  163 .236875E-05  172 .808597E-05  173 .197309E-05
 182 .938559E-05  183 .169954E-05  192 .968281E-05  193 .151890E-05  202 .114941E-04
 203 .175235E-05  211 .117374E-04  212 .186452E-05  219 .124174E-04  220 .228213E-05
 227 .137193E-04  228 .288765E-05  235 .163502E-04  236 .384313E-05  242 .183823E-04
 243 .469624E-05  249 .203119E-04  250 .560552E-05  256 .233585E-04  257 .702231E-05
 263 .253792E-04  264 .836027E-05  270 .279912E-04  271 .100278E-04  277 .517796E-04
 278 .199093E-04  284 .847157E-04  285 .352063E-04  290 .100216E-03  291 .462585E-04
 296 .108895E-03  297 .577916E-04  301 .140877E-03  302 .835665E-04  307 .168964E-03
 308 .109321E-03  313 .314717E-03  314 .227980E-03  320 .607761E-03  321 .488506E-03
 326 .845422E-03  327 .750655E-03  332 .132343E-02  333 .126311E-02  338 .205769E-02
 339 .198669E-02  344 .340151E-02  345 .323210E-02  350 .519066E-02  351 .471613E-02
 355 .754954E-02  356 .654828E-02  360 .119848E-01  361 .978031E-02  365 .185363E-01
 366 .139641E-01  370 .273933E-01  371 .190777E-01  375 .395459E-01  376 .255828E-01
 380 .565369E-01  381 .340652E-01  385 .772266E-01  386 .434090E-01  389 .110857E+00
 390 .576837E-01  393 .155935E+00  394 .740534E-01  397 .215451E+00  398 .930417E-01
 401 .298875E+00  402 .117193E+00  405 .409721E+00  406 .145066E+00  408 .569373E+00
 409 .181191E+00  411 .722705E+00  412 .206715E+00  414 .979385E+00  415 .250827E+00
 417 .271201E+01  418 .582418E+00  419 .666392E+01  420 .113104E+01  421 .160022E+03
 422 .157103E+01  423 .228198E+01  424 .296194E+01  425 .340745E+01  426 .937019E+03
 445 .117714E-09  446 .180838E-08  450 .691566E-09  451 .610205E-08  453 .135394E-08
 454 .388230E-06  465 .139913E-07  476 .561898E-07  487 .383225E-06  497 .182709E-07
 498 .140415E-05  508 .164420E-06  509 .115510E-05  519 .360181E-06  520 .892112E-06
 530 .443361E-06  531 .830841E-06  541 .425138E-06  542 .642598E-06  552 .590519E-06
 553 .722976E-06  563 .886529E-06  564 .852244E-06  574 .127908E-05  575 .917492E-06
 584 .191006E-05  585 .976756E-06  594 .253317E-05  595 .876437E-06  604 .299181E-05
 605 .730043E-06  614 .347267E-05  615 .628830E-06  624 .358264E-05  625 .561992E-06
 634 .425283E-05  635 .648368E-06  643 .434285E-05  644 .689872E-06  652 .459444E-05
 653 .844389E-06  660 .507613E-05  661 .106843E-05  668 .604956E-05  669 .142196E-05
 675 .680144E-05  676 .173761E-05  682 .751540E-05  683 .207404E-05  689 .864263E-05
 690 .259825E-05  696 .939031E-05  697 .309330E-05  703 .103567E-04  704 .371028E-05
 710 .191585E-04  711 .736643E-05  717 .313448E-04  718 .130263E-04  723 .370798E-04
 724 .171157E-04  729 .402912E-04  730 .213829E-04  735 .521244E-04  736 .309196E-04
 741 .625167E-04  742 .404489E-04  747 .116445E-03  748 .843525E-04  754 .224871E-03
 755 .180747E-03  760 .312806E-03  761 .277742E-03  766 .489669E-03  767 .467351E-03
 772 .761345E-03  773 .735077E-03  778 .125856E-02  779 .119588E-02  784 .192054E-02
