Evolutionary tracks: tracksZ0.0004.dat                                                       
Metallicity (mass fraction): .0004
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier_x=-1.dat from   0.0100 to 100.0000 solar masses
  516  4422   427  1311 0.1213E+01
    0   249  0.12000E+03 0.84618E+04 0.13834E+15 0.58968E+14 0.65083E+09
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -3 .463936E-07   -1 .475439E+04  439 .735871E-10  443 .278185E-10  445 .185798E-08
 446 .986558E-08  450 .492681E-08  451 .166722E-07  453 .213718E-07  454 .575683E-06
 465 .732159E-07  476 .447991E-06  486 .392038E-07  487 .215087E-05  497 .311046E-06
 498 .206391E-05  508 .719007E-06  509 .148068E-05  519 .854990E-06  520 .147716E-05
 530 .696815E-06  531 .109056E-05  541 .885922E-06  542 .114410E-05  552 .128888E-05
 553 .136589E-05  563 .178923E-05  564 .151580E-05  574 .275829E-05  575 .178243E-05
 584 .423655E-05  585 .192062E-05  594 .543966E-05  595 .162170E-05  604 .696827E-05
 605 .127785E-05  614 .825840E-05  615 .988043E-06  624 .997341E-05  625 .849203E-06
 634 .100203E-04  635 .789550E-06  643 .115439E-04  644 .994565E-06  652 .122232E-04
 653 .119176E-05  660 .131255E-04  661 .155741E-05  668 .150419E-04  669 .212306E-05
 675 .174547E-04  676 .284048E-05  682 .194078E-04  683 .354803E-05  689 .226179E-04
 690 .459612E-05  696 .256997E-04  697 .572666E-05  703 .281166E-04  704 .681767E-05
 710 .482561E-04  711 .130266E-04  717 .747251E-04  718 .229412E-04  723 .902633E-04
 724 .324923E-04  729 .111427E-03  730 .459071E-04  735 .136350E-03  736 .617548E-04
 741 .174103E-03  742 .844840E-04  747 .359833E-03  748 .187896E-03  754 .668092E-03
 755 .373137E-03  760 .106504E-02  761 .630870E-03  766 .177368E-02  767 .103818E-02
 772 .302394E-02  773 .168216E-02  778 .502722E-02  779 .255806E-02  784 .780273E-02
 785 .360848E-02  789 .126967E-01  790 .521990E-02  794 .195371E-01  795 .700630E-02
 799 .293792E-01  800 .930736E-02  804 .419553E-01  805 .120042E-01  809 .589732E-01
 810 .152308E-01  814 .844379E-01  815 .196166E-01  819 .119549E+00  820 .244383E-01
 823 .167376E+00  824 .295018E-01  827 .231417E+00  828 .347563E-01  831 .326141E+00
 832 .406753E-01  834 .441459E+00  835 .444290E-01  837 .590956E+00  838 .461228E-01
 840 .811000E+00  841 .465986E-01  842 .101031E+01  843 .421861E-01  844 .128924E+01
 845 .359350E-01  846 .369334E+01  847 .286524E-01  848 .932242E+01  849 .222241E-02
 850 .179353E+02  852 .324055E+02  853 .619994E+02  854 .119158E+03  855 .174078E+04
 872 .634371E-10  879 .239814E-10  886 .160170E-08  887 .850481E-08  896 .424725E-08
 897 .143726E-07  904 .184240E-07  905 .496279E-06  916 .631171E-07  927 .386199E-06
 937 .337964E-07  938 .185420E-05  948 .268143E-06  949 .177924E-05  959 .619833E-06
 960 .127645E-05  970 .737061E-06  971 .127341E-05  981 .600703E-06  982 .940134E-06
 992 .763725E-06  993 .986291E-06 1003 .111111E-05 1004 .117749E-05 1014 .154244E-05
