Evolutionary tracks: tracksZ0.004.dat                                                        
Metallicity (mass fraction): .0040
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier_x=-1.dat from   0.0100 to 100.0000 solar masses
  516  4422  1312  2221 0.3614E+01
    0   254  0.12000E+03 0.84760E+04 0.13132E+15 0.46378E+14 0.27040E+09
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -3 .646595E-08   -1 .192529E+04 1323 .433879E-10 1324 .407024E-08 1331 .453317E-08
1337 .251645E-07 1338 .429199E-07 1347 .627925E-07 1348 .591093E-07 1355 .137270E-06
1356 .242341E-06 1366 .832160E-09 1367 .711858E-06 1377 .209735E-06 1378 .197089E-05
1388 .663690E-06 1389 .132688E-05 1399 .860856E-06 1400 .983741E-06 1410 .825380E-06
1411 .774049E-06 1421 .100186E-05 1422 .770351E-06 1432 .125631E-05 1433 .811733E-06
1443 .160544E-05 1444 .879339E-06 1454 .235513E-05 1455 .105415E-05 1465 .331318E-05
1466 .111764E-05 1476 .504907E-05 1477 .107975E-05 1486 .742269E-05 1487 .690284E-06
1495 .130242E-06 1496 .103601E-04 1497 .143996E-06 1505 .941089E-06 1506 .119950E-04
1515 .213545E-05 1516 .136795E-04 1525 .293200E-05 1526 .146616E-04 1535 .363664E-05
1536 .165775E-04 1544 .368680E-05 1545 .180006E-04 1553 .375813E-05 1554 .208788E-04
1562 .372229E-05 1563 .235323E-04 1570 .390544E-05 1571 .281737E-04 1578 .410292E-05
1579 .341622E-04 1586 .408231E-05 1587 .397298E-04 1593 .427238E-05 1594 .493458E-04
1600 .414018E-05 1601 .569022E-04 1607 .382578E-05 1608 .640868E-04 1614 .495198E-05
1615 .114464E-03 1621 .469695E-05 1622 .194502E-03 1627 .268845E-05 1628 .291870E-03
1633 .206724E-05 1634 .402782E-03 1639 .205672E-05 1640 .514863E-03 1645 .194364E-05
1646 .662116E-03 1651 .723870E-05 1652 .143249E-02 1658 .397619E-04 1659 .292062E-02
1664 .131768E-03 1665 .490047E-02 1670 .318735E-03 1671 .750343E-02 1676 .666693E-03
1677 .114839E-01 1682 .129783E-02 1683 .177536E-01 1688 .225005E-02 1689 .254971E-01
1693 .380111E-02 1694 .356757E-01 1698 .630886E-02 1699 .500159E-01 1703 .103832E-01
1704 .726931E-01 1708 .158650E-01 1709 .998426E-01 1713 .241088E-01 1714 .135008E+00
1718 .361381E-01 1719 .181733E+00 1723 .536310E-01 1724 .244023E+00 1727 .817057E-01
1728 .337225E+00 1731 .117498E+00 1732 .442471E+00 1735 .166498E+00 1736 .575717E+00
1739 .235251E+00 1740 .752755E+00 1743 .324052E+00 1744 .965118E+00 1746 .455329E+00
1747 .126661E+01 1749 .627920E+00 1750 .163870E+01 1752 .860163E+00 1753 .211343E+01
1755 .241639E+01 1756 .542207E+01 1758 .207136E+02 1760 .384242E+02 1762 .790048E+02
1763 .170126E+03 1764 .373867E+03 1765 .281951E+04 1778 .224376E-10 1779 .360066E-08
1786 .367700E-08 1792 .216469E-07 1793 .370583E-07 1802 .540151E-07 1803 .508467E-07
1810 .118082E-06 1811 .208466E-06 1821 .715836E-09 1822 .612351E-06 1832 .180417E-06
