Evolutionary tracks: tracksZ0.0004.dat                                                       
Metallicity (mass fraction): .0004
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier_x=0.1.dat from   0.0100 to 100.0000 solar masses
  516  4422   427  1311 0.8867E+00
    0   249  0.12000E+03 0.58569E+04 0.91827E+14 0.37649E+14 0.36771E+09
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -3 .326891E-05   -1 .266955E+04  439 .518497E-08  443 .196010E-08  445 .130914E-06
 446 .695132E-06  450 .347144E-06  451 .117473E-05  453 .150587E-05  454 .405628E-04
 465 .515882E-05  476 .315656E-04  486 .276231E-05  487 .151551E-03  497 .219164E-04
 498 .145424E-03  508 .506614E-04  509 .104329E-03  519 .602429E-04  520 .104081E-03
 530 .490978E-04  531 .768409E-04  541 .624223E-04  542 .806135E-04  552 .908152E-04
 553 .962413E-04  563 .126070E-03  564 .106804E-03  574 .194350E-03  575 .125591E-03
 584 .298509E-03  585 .135328E-03  594 .383281E-03  595 .114265E-03  604 .489389E-03
 605 .898233E-04  614 .559153E-03  615 .671046E-04  624 .642015E-03  625 .547943E-04
 634 .617522E-03  635 .486303E-04  643 .684687E-03  644 .589574E-04  652 .700399E-03
 653 .682208E-04  660 .728048E-03  661 .863043E-04  668 .808817E-03  669 .114063E-03
 675 .909794E-03  676 .147958E-03  682 .980617E-03  683 .179172E-03  689 .110795E-02
 690 .225024E-03  696 .122086E-02  697 .271922E-03  703 .129535E-02  704 .313968E-03
 710 .213664E-02  711 .576265E-03  717 .315516E-02  718 .967294E-03  723 .360658E-02
 724 .129646E-02  729 .421917E-02  730 .173637E-02  735 .488925E-02  736 .221301E-02
 741 .591521E-02  742 .286858E-02  747 .113282E-01  748 .590979E-02  754 .191722E-01
 755 .106935E-01  760 .273614E-01  761 .162003E-01  766 .407714E-01  767 .238782E-01
 772 .616736E-01  773 .343592E-01  778 .909933E-01  779 .463898E-01  784 .125580E+00
 785 .581869E-01  789 .182017E+00  790 .750218E-01  794 .250212E+00  795 .899592E-01
 799 .337304E+00  800 .107065E+00  804 .434451E+00  805 .124517E+00  809 .552799E+00
 810 .143004E+00  814 .719490E+00  815 .167451E+00  819 .927922E+00  820 .190097E+00
 823 .118532E+01  824 .209408E+00  827 .149988E+01  828 .225825E+00  831 .193554E+01
 832 .242101E+00  834 .240517E+01  835 .242851E+00  837 .296114E+01  838 .231987E+00
 840 .374434E+01  841 .216102E+00  842 .431697E+01  843 .181024E+00  844 .510679E+01
 845 .143164E+00  846 .129519E+02  847 .106143E+00  848 .278097E+02  849 .789467E-02
 850 .440449E+02  852 .657911E+02  853 .103543E+03  854 .163108E+03  855 .126462E+04
 872 .446980E-08  879 .168974E-08  886 .112857E-06  887 .599252E-06  896 .299262E-06
 897 .101270E-05  904 .129816E-05  905 .349680E-04  916 .444726E-05  927 .272117E-04
 937 .238130E-05  938 .130648E-03  948 .188934E-04  949 .125366E-03  959 .436737E-04
 960 .899388E-04  970 .519335E-04  971 .897252E-04  981 .423257E-04  982 .662422E-04
 992 .538124E-04  993 .694944E-04 1003 .782890E-04 1004 .829667E-04 1014 .108681E-03
1015 .920721E-04 1025 .167543E-03 1026 .108268E-03 1035 .257335E-03 1036 .116662E-03
1045 .330414E-03 1046 .985046E-04 1055 .421887E-03 1056 .774338E-04 1065 .482029E-03
1066 .578488E-04 1075 .553461E-03 1076 .472365E-04 1085 .532346E-03 1086 .419226E-04
1094 .590248E-03 1095 .508254E-04 1103 .603792E-03 1104 .588111E-04 1111 .627628E-03
1112 .744003E-04 1119 .697256E-03 1120 .983299E-04 1126 .784305E-03 1127 .127550E-03
1133 .845360E-03 1134 .154459E-03 1140 .955127E-03 1141 .193986E-03 1147 .105247E-02
1148 .234416E-03 1154 .111668E-02 1155 .270662E-03 1161 .184193E-02 1162 .496780E-03
1168 .271997E-02 1169 .833874E-03 1174 .310912E-02 1175 .111764E-02 1180 .363722E-02
1181 .149687E-02 1186 .421487E-02 1187 .190777E-02 1192 .509932E-02 1193 .247291E-02
1198 .976569E-02 1199 .509465E-02 1205 .165278E-01 1206 .921857E-02 1211 .235874E-01
1212 .139658E-01 1217 .351478E-01 1218 .205846E-01 1223 .531669E-01 1224 .296200E-01
1229 .784425E-01 1230 .399912E-01 1235 .108259E+00 1236 .501612E-01 1240 .156911E+00
1241 .646740E-01 1245 .215700E+00 1246 .775511E-01 1250 .290779E+00 1251 .922978E-01
1255 .374526E+00 1256 .107342E+00 1260 .476550E+00 1261 .123279E+00 1265 .620250E+00
1266 .144355E+00 1270 .799933E+00 1271 .163877E+00 1274 .102183E+01 1275 .180524E+00
1278 .129300E+01 1279 .194677E+00 1282 .166857E+01 1283 .208708E+00 1286 .207342E+01
1287 .209354E+00 1290 .255270E+01 1291 .199988E+00 1293 .322788E+01 1294 .186295E+00
1296 .372153E+01 1297 .156056E+00 1299 .440241E+01 1300 .123418E+00 1301 .357052E-01
1302 .111298E+02 1303 .915027E-01 1304 .239739E+02 1305 .680575E-02 1306 .379697E+02
1308 .567164E+02 1309 .892609E+02 1310 .140611E+03 1311 .109019E+04
    1   247  0.12000E+03 0.66334E+04 0.10114E+15 0.39749E+14 0.29137E+09
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -3 .326891E-05   -1 .207093E+04  439 .518497E-08  443 .196010E-08  445 .130914E-06
 446 .695132E-06  450 .347144E-06  451 .117473E-05  453 .150587E-05  454 .405628E-04
 465 .515882E-05  476 .315656E-04  486 .276231E-05  487 .151551E-03  497 .219164E-04
 498 .145424E-03  508 .506609E-04  509 .104327E-03  519 .602435E-04  520 .104079E-03
 530 .490995E-04  531 .768397E-04  541 .624239E-04  542 .806106E-04  552 .908187E-04
 553 .962378E-04  563 .126078E-03  564 .106799E-03  574 .194353E-03  575 .125577E-03
 584 .298521E-03  585 .135311E-03  594 .383303E-03  595 .114245E-03  604 .489412E-03
 605 .897945E-04  614 .559135E-03  615 .670639E-04  624 .642007E-03  625 .547501E-04
