Evolutionary tracks: tracksZ0.1.dat                                                          
Metallicity (mass fraction): .1000
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier_x=0.1.dat from   0.0100 to 100.0000 solar masses
  516  4422  3596  4422 0.7685E+00
    0   236  0.12000E+03 0.78130E+04 0.87355E+14 0.12542E+14 0.32490E+08
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -1 .241148E+03 3613 .216585E-05 3614 .311342E-05 3623 .109221E-04 3630 .165556E-05
3631 .495983E-04 3632 .731988E-05 3640 .361923E-04 3641 .142271E-03 3642 .749968E-06
3650 .134575E-04 3651 .247216E-04 3662 .122674E-04 3663 .127291E-04 3673 .241625E-04
3674 .176130E-04 3684 .378694E-04 3685 .185267E-04 3695 .104862E-03 3696 .322553E-04
3706 .201352E-03 3707 .428295E-04 3716 .839439E-08 3717 .327634E-03 3718 .333137E-04
3727 .206646E-04 3728 .533945E-03 3729 .678349E-05 3738 .158837E-03 3739 .720455E-03
3749 .503149E-03 3750 .870986E-03 3760 .117871E-02 3761 .952804E-03 3771 .199859E-02
3772 .809568E-03 3781 .252020E-02 3782 .574140E-03 3791 .310089E-02 3792 .425019E-03
3801 .355735E-02 3802 .289951E-03 3811 .377167E-02 3812 .228314E-03 3820 .447494E-02
3821 .219437E-03 3829 .525451E-02 3830 .201125E-03 3838 .613957E-02 3839 .171724E-03
3847 .608291E-02 3848 .126093E-03 3856 .428852E-02 3857 .149154E-03 3864 .458101E-02
3865 .274406E-03 3872 .481923E-02 3873 .410869E-03 3880 .501245E-02 3881 .557184E-03
3887 .543085E-02 3888 .746915E-03 3894 .564660E-02 3895 .928685E-03 3901 .579907E-02
3902 .111277E-02 3908 .927606E-02 3909 .212402E-02 3915 .133050E-01 3916 .368520E-02
3921 .189270E-01 3922 .634449E-02 3927 .322586E-01 3928 .110381E-01 3933 .392265E-01
3934 .130034E-01 3939 .477846E-01 3940 .153519E-01 3945 .928418E-01 3946 .285270E-01
3951 .166564E+00 3952 .483849E-01 3957 .229664E+00 3958 .625654E-01 3963 .322785E+00
3964 .834999E-01 3969 .435528E+00 3970 .109665E+00 3974 .581078E+00 3975 .142654E+00
3979 .772826E+00 3980 .181571E+00 3984 .976335E+00 3985 .216688E+00 3989 .125388E+01
3990 .264537E+00 3994 .161609E+01 3995 .327018E+00 3999 .221327E+01 4000 .424650E+00
4004 .285300E+01 4005 .507012E+00 4008 .358052E+01 4009 .586449E+00 4012 .452685E+01
4013 .681360E+00 4016 .595263E+01 4017 .825020E+00 4020 .721938E+01 4021 .918600E+00
4024 .873453E+01 4025 .101608E+01 4027 .113097E+02 4028 .119382E+01 4030 .145267E+02
4031 .137724E+01 4033 .179800E+02 4034 .150989E+01 4036 .234125E+02 4037 .170067E+01
4039 .316406E+02 4041 .798140E+02 4043 .236748E+03 4045 .171414E+04 4046 .258134E+04
4047 .948261E+03 4057 .233655E-04 4058 .932049E-04 4068 .888067E-05 4069 .647348E-05
4079 .139185E-04 4080 .680930E-05 4090 .385409E-04 4091 .118551E-04 4101 .740050E-04
4102 .157416E-04 4111 .308528E-08 4112 .120419E-03 4113 .122441E-04 4122 .759507E-05
4123 .196246E-03 4124 .249320E-05 4133 .583791E-04 4134 .264796E-03 4144 .184927E-03
4145 .320122E-03 4155 .433224E-03 4156 .350194E-03 4165 .734560E-03 4166 .297549E-03
4175 .926273E-03 4176 .211020E-03 4185 .113970E-02 4186 .156211E-03 4195 .130747E-02
4196 .106569E-03 4205 .138624E-02 4206 .839147E-04 4215 .164472E-02 4216 .806520E-04
4224 .193124E-02 4225 .739214E-04 4233 .225654E-02 4234 .631153E-04 4242 .223571E-02
4243 .463441E-04 4251 .157620E-02 4252 .548199E-04 4259 .168371E-02 4260 .100855E-03
4267 .177126E-02 4268 .151011E-03 4274 .184228E-02 4275 .204787E-03 4281 .199606E-02
4282 .274521E-03 4288 .207535E-02 4289 .341329E-03 4295 .213139E-02 4296 .408988E-03
4302 .340932E-02 4303 .780663E-03 4308 .489012E-02 4309 .135446E-02 4314 .695645E-02
4315 .233185E-02 4319 .118563E-01 4320 .405696E-02 4324 .144173E-01 4325 .477926E-02
4329 .175627E-01 4330 .564245E-02 4334 .341231E-01 4335 .104848E-01 4339 .612190E-01
4340 .177834E-01 4344 .844106E-01 4345 .229953E-01 4349 .118636E+00 4350 .306895E-01
4354 .160074E+00 4355 .403062E-01 4359 .213569E+00 4360 .524311E-01 4364 .284045E+00
4365 .667347E-01 4369 .358842E+00 4370 .796416E-01 4374 .460851E+00 4375 .972279E-01
4378 .593979E+00 4379 .120192E+00 4382 .813466E+00 4383 .156076E+00 4386 .104859E+01
4387 .186347E+00 4390 .131598E+01 4391 .215544E+00 4394 .166380E+01 4395 .250427E+00
4398 .218783E+01 4399 .303228E+00 4401 .265341E+01 4402 .337622E+00 4404 .321029E+01
4405 .373450E+00 4407 .415675E+01 4408 .438775E+00 4410 .533916E+01 4411 .506191E+00
4413 .716333E+01 4415 .923011E+01 4417 .116292E+02 4419 .293348E+02 4421 .870144E+02
4422 .168614E+04
    1   229  0.12000E+03 0.79987E+04 0.59379E+14 0.27668E+13 0.29442E+04
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
3613 .216585E-05 3614 .311342E-05 3623 .109221E-04 3630 .165556E-05 3631 .495983E-04
3632 .731988E-05 3640 .361922E-04 3641 .142271E-03 3642 .749968E-06 3650 .134572E-04
3651 .247213E-04 3662 .122668E-04 3663 .127287E-04 3673 .241611E-04 3674 .176124E-04
3684 .378669E-04 3685 .185261E-04 3695 .104823E-03 3696 .322452E-04 3706 .201280E-03
3707 .428211E-04 3716 .806586E-08 3717 .327331E-03 3718 .333141E-04 3727 .205488E-04
