Evolutionary tracks: tracksZ0.0001.dat                                                       
Metallicity (mass fraction): .0001
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier_x=0.5.dat from   0.0100 to 100.0000 solar masses
  516  4422     1   855 0.4987E+00
    0   246  0.12000E+03 0.41757E+04 0.66541E+14 0.28833E+14 0.10920E+12
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -5 .491294E+02   -3 .346733E-04   -2 .813918E-02   -1 .275334E+04   17 .796092E-07
  18 .122299E-05   22 .467701E-06   23 .412677E-05   25 .699675E-06   26 .438202E-03
  35 .369591E-05   45 .182956E-04   55 .162129E-03   65 .123565E-04   66 .884525E-03
  76 .111196E-03   77 .781185E-03   87 .243587E-03   88 .603328E-03   98 .299841E-03
  99 .561891E-03  109 .287517E-03  110 .434584E-03  120 .399363E-03  121 .488943E-03
 131 .599552E-03  132 .576365E-03  142 .865030E-03  143 .620492E-03  152 .129176E-02
 153 .660572E-03  162 .171316E-02  163 .592727E-03  172 .202334E-02  173 .493722E-03
 182 .233997E-02  183 .423914E-03  192 .231526E-02  193 .363308E-03  202 .259382E-02
 203 .395534E-03  211 .251485E-02  212 .399098E-03  219 .254014E-02  220 .466349E-03
 227 .268694E-02  228 .565044E-03  235 .306602E-02  236 .720183E-03  242 .330178E-02
 243 .843048E-03  249 .349726E-02  250 .964642E-03  256 .385914E-02  257 .115942E-02
 263 .402675E-02  264 .132568E-02  270 .426637E-02  271 .152768E-02  277 .747564E-02
 278 .287237E-02  284 .114168E-01  285 .473849E-02  290 .125006E-01  291 .576127E-02
 296 .126335E-01  297 .669414E-02  301 .152245E-01  302 .902138E-02  307 .170083E-01
 308 .109932E-01  313 .288006E-01  314 .208202E-01  320 .493769E-01  321 .395909E-01
 326 .598784E-01  327 .530514E-01  332 .813528E-01  333 .775846E-01  338 .109615E+00
 339 .105825E+00  344 .155634E+00  345 .148024E+00  350 .204421E+00  351 .185951E+00
 355 .256979E+00  356 .223142E+00  360 .353069E+00  361 .288645E+00  365 .472176E+00
 366 .356410E+00  370 .605684E+00  371 .422571E+00  375 .761418E+00  376 .493372E+00
 380 .953329E+00  381 .575304E+00  385 .114646E+01  386 .645337E+00  389 .145204E+01
 390 .756915E+00  393 .180865E+01  394 .860565E+00  397 .221617E+01  398 .958824E+00
 401 .273637E+01  402 .107502E+01  405 .334329E+01  406 .118606E+01  408 .414560E+01
