Evolutionary tracks: tracksZ0.02.dat                                                         
Metallicity (mass fraction): .0200
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier_x=0.5.dat from   0.0100 to 100.0000 solar masses
  516  4422  2222  3141 0.6067E+00
    0   130  0.12000E+03 0.45416E+04 0.60032E+14 0.13694E+14 0.38409E+07
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -3 .272101E-08 2692 .118343E-05 2693 .158736E-05 2702 .149596E-04 2703 .147785E-04
2711 .426070E-04 2712 .251736E-04 2721 .132759E-03 2722 .359906E-04 2730 .125444E-04
2731 .395498E-03 2732 .192638E-04 2742 .205795E-03 2743 .720642E-03 2753 .415060E-03
2754 .487227E-03 2764 .339426E-03 2765 .232192E-03 2775 .433507E-03 2776 .235456E-03
2786 .601770E-03 2787 .252940E-03 2797 .767467E-03 2798 .247570E-03 2808 .960478E-03
2809 .242645E-03 2819 .137561E-02 2820 .254135E-03 2830 .205511E-02 2831 .218568E-03
2840 .191272E-04 2841 .304489E-02 2842 .846488E-04 2851 .259338E-03 2852 .298344E-02
2853 .723300E-06 2861 .924630E-03 2862 .392139E-02 2871 .194672E-02 2872 .504045E-02
2881 .301234E-02 2882 .553282E-02 2891 .374984E-02 2892 .566212E-02 2901 .381627E-02
2902 .530470E-02 2911 .407658E-02 2912 .560133E-02 2920 .461578E-02 2921 .643471E-02
2929 .487389E-02 2930 .697401E-02 2938 .517571E-02 2939 .762846E-02 2946 .650913E-02
2947 .978131E-02 2954 .734732E-02 2955 .111024E-01 2962 .808544E-02 2963 .122283E-01
2969 .933584E-02 2970 .140929E-01 2976 .101856E-01 2977 .153282E-01 2983 .111027E-01
2984 .166692E-01 2990 .189634E-01 2991 .285252E-01 2997 .295437E-01 2998 .445786E-01
3003 .383690E-01 3004 .575323E-01 3009 .459703E-01 3010 .679424E-01 3015 .546517E-01
3016 .795930E-01 3021 .671782E-01 3022 .961545E-01 3027 .123353E+00 3028 .172149E+00
3034 .214571E+00 3035 .290688E+00 3040 .294738E+00 3041 .387128E+00 3046 .384888E+00
3047 .492541E+00 3052 .516416E+00 3053 .641718E+00 3058 .694920E+00 3059 .829528E+00
3064 .891881E+00 3065 .102155E+01 3069 .111663E+01 3070 .122777E+01 3074 .143498E+01
3075 .151618E+01 3079 .183057E+01 3080 .185891E+01 3084 .223571E+01 3085 .218567E+01
3089 .284108E+01 3090 .267043E+01 3094 .354144E+01 3095 .319636E+01 3099 .417493E+01
3100 .362128E+01 3103 .505818E+01 3104 .422128E+01 3107 .634408E+01 3108 .510055E+01
3111 .758224E+01 3112 .587636E+01 3115 .896285E+01 3116 .670254E+01 3119 .115474E+02
3120 .832731E+01 3122 .144313E+02 3123 .100363E+02 3125 .160872E+02 3126 .107997E+02
3128 .187462E+02 3129 .121485E+02 3131 .504915E+02 3132 .302576E+02 3134 .155729E+03
3136 .243277E+03 3138 .409383E+03 3139 .791462E+03 3140 .180200E+04 3141 .865791E+03
    1   128  0.12000E+03 0.49750E+04 0.54992E+14 0.90661E+13 0.13697E+06
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
