Evolutionary tracks: tracksZ0.004.dat                                                        
Metallicity (mass fraction): .0040
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier_x=0.dat from   0.0100 to 100.0000 solar masses
  516  4422  1312  2221 0.2063E+01
    0   254  0.12000E+03 0.62389E+04 0.92539E+14 0.31162E+14 0.15569E+09
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -3 .320231E-06   -1 .110052E+04 1323 .214881E-08 1324 .201581E-06 1331 .224509E-06
1337 .124629E-05 1338 .212564E-05 1347 .310984E-05 1348 .292743E-05 1355 .679839E-05
1356 .120021E-04 1366 .412133E-07 1367 .352552E-04 1377 .103873E-04 1378 .976097E-04
1388 .328697E-04 1389 .657149E-04 1399 .426345E-04 1400 .487204E-04 1410 .408775E-04
1411 .383353E-04 1421 .496176E-04 1422 .381522E-04 1432 .622194E-04 1433 .402016E-04
1443 .795104E-04 1444 .435499E-04 1454 .116640E-03 1455 .522077E-04 1465 .164088E-03
1466 .553517E-04 1476 .250059E-03 1477 .534755E-04 1486 .364211E-03 1487 .340497E-04
1495 .588396E-05 1496 .482686E-03 1497 .693038E-05 1505 .409461E-04 1506 .527046E-03
1515 .888347E-04 1516 .571083E-03 1525 .116818E-03 1526 .584684E-03 1535 .139437E-03
1536 .635751E-03 1544 .136450E-03 1545 .665735E-03 1553 .134643E-03 1554 .747506E-03
1562 .129260E-03 1563 .816668E-03 1570 .131610E-03 1571 .948769E-03 1578 .134170E-03
1579 .111630E-02 1586 .129542E-03 1587 .125970E-02 1593 .131497E-03 1594 .151744E-02
1600 .123626E-03 1601 .169752E-02 1607 .110880E-03 1608 .185550E-02 1614 .138351E-03
1615 .318831E-02 1621 .125695E-03 1622 .516409E-02 1627 .679344E-04 1628 .730294E-02
1633 .487838E-04 1634 .948086E-02 1639 .456358E-04 1640 .113933E-01 1645 .406972E-04
1646 .138161E-01 1651 .136669E-03 1652 .275699E-01 1658 .682808E-03 1659 .509241E-01
1664 .202662E-02 1665 .761973E-01 1670 .440555E-02 1671 .104405E+00 1676 .829117E-02
1677 .143479E+00 1682 .145536E-01 1683 .199802E+00 1688 .228238E-01 1689 .259404E+00
1693 .350424E-01 1694 .329842E+00 1698 .531119E-01 1699 .422001E+00 1703 .799055E-01
1704 .560325E+00 1708 .111826E+00 1709 .704891E+00 1713 .155986E+00 1714 .874899E+00
1718 .215447E+00 1719 .108496E+01 1723 .294947E+00 1724 .134376E+01 1727 .414801E+00
1728 .171423E+01 1731 .551351E+00 1732 .207865E+01 1735 .723261E+00 1736 .250348E+01
1739 .948508E+00 1740 .303782E+01 1743 .121370E+01 1744 .361776E+01 1746 .158556E+01
