Evolutionary tracks: tracksZ0.05.dat                                                         
Metallicity (mass fraction): .0500
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Chabrier_x=1.dat from   0.0100 to 100.0000 solar masses
  516  4422  3142  4047 0.8886E-01
    0   249  0.12000E+03 0.22126E+04 0.22651E+14 0.31218E+13 0.24760E+05
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
3155 .744301E-05 3156 .196322E-04 3165 .547789E-04 3171 .165927E-03 3172 .681222E-04
3180 .392849E-04 3181 .711930E-03 3182 .326218E-04 3189 .323026E-03 3190 .104339E-02
3191 .113273E-06 3201 .310675E-03 3202 .401518E-03 3212 .512862E-03 3213 .363172E-03
3223 .694607E-03 3224 .347268E-03 3234 .912041E-03 3235 .351172E-03 3245 .123624E-02
3246 .367476E-03 3256 .166194E-02 3257 .368388E-03 3267 .191624E-02 3268 .290929E-03
3278 .233638E-02 3279 .164062E-03 3288 .111753E-03 3289 .411079E-02 3290 .345977E-04
3299 .790876E-03 3300 .571538E-02 3310 .210141E-02 3311 .677278E-02 3320 .413642E-02
3321 .769640E-02 3330 .642426E-02 3331 .814444E-02 3340 .851443E-02 3341 .795835E-02
3350 .984319E-02 3351 .736806E-02 3360 .104011E-01 3361 .694767E-02 3369 .112835E-01
3370 .721682E-02 3378 .120719E-01 3379 .760352E-02 3387 .129547E-01 3388 .813632E-02
3396 .142287E-01 3397 .885882E-02 3405 .169574E-01 3406 .104368E-01 3413 .187505E-01
3414 .114224E-01 3421 .202880E-01 3422 .122352E-01 3428 .228226E-01 3429 .136295E-01
3435 .245620E-01 3436 .145290E-01 3442 .263125E-01 3443 .154200E-01 3449 .443745E-01
3450 .256851E-01 3456 .673696E-01 3457 .384002E-01 3462 .800771E-01 3463 .448323E-01
3468 .952454E-01 3469 .524472E-01 3474 .110046E+00 3475 .597063E-01 3480 .126971E+00
3481 .679243E-01 3486 .221831E+00 3487 .116514E+00 3492 .372004E+00 3493 .190467E+00
3498 .475051E+00 3499 .234087E+00 3504 .591358E+00 3505 .280242E+00 3510 .745069E+00
3511 .339180E+00 3516 .934214E+00 3517 .408073E+00 3521 .115198E+01 3522 .481141E+00
3526 .138627E+01 3527 .552642E+00 3531 .169089E+01 3532 .644897E+00 3536 .203512E+01
3537 .742639E+00 3541 .240146E+01 3542 .838981E+00 3546 .294653E+01 3547 .983175E+00
3551 .346669E+01 3552 .110327E+01 3555 .389358E+01 3556 .118244E+01 3559 .459868E+01
3560 .133234E+01 3563 .569817E+01 3564 .157341E+01 3567 .651601E+01 3568 .171091E+01
