Evolutionary tracks: tracksZ0.008.dat                                                        
Metallicity (mass fraction): .0080
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Salpeter.dat from   0.1000 to 100.0000 solar masses
  516  4422  1766  2674 0.3434E-01
    0   252  0.12000E+03 0.52181E+03 0.62508E+13 0.16426E+13 0.35216E+07
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -3 .373255E-05   -1 .226976E+02 1779 .825117E-05 1786 .167349E-04 1792 .217785E-03
1793 .233007E-03 1802 .401128E-03 1803 .244324E-03 1810 .939392E-03 1811 .408998E-03
1821 .974604E-04 1822 .239787E-02 1832 .701671E-03 1833 .247623E-02 1843 .105525E-02
1844 .128578E-02 1854 .869292E-03 1855 .744881E-03 1865 .102942E-02 1866 .674491E-03
1876 .121412E-02 1877 .651188E-03 1887 .149342E-02 1888 .677152E-03 1898 .205945E-02
1899 .757255E-03 1909 .278840E-02 1910 .770459E-03 1920 .375300E-02 1921 .696008E-03
1931 .555900E-02 1932 .498270E-03 1940 .190832E-03 1941 .820786E-02 1942 .108609E-03
1950 .105559E-02 1951 .848400E-02 1960 .155463E-02 1961 .608160E-02 1970 .240928E-02
1971 .656270E-02 1980 .296360E-02 1981 .729445E-02 1990 .306118E-02 1991 .747876E-02
1999 .300270E-02 2000 .776892E-02 2008 .305535E-02 2009 .847004E-02 2017 .309299E-02
2018 .919108E-02 2026 .323728E-02 2027 .104162E-01 2034 .313451E-02 2035 .112377E-01
2042 .325581E-02 2043 .128802E-01 2049 .353224E-02 2050 .146591E-01 2056 .356591E-02
2057 .154269E-01 2063 .359556E-02 2064 .162138E-01 2070 .575985E-02 2071 .273921E-01
2077 .922648E-02 2078 .451052E-01 2083 .107263E-01 2084 .527157E-01 2089 .118804E-01
2090 .586241E-01 2095 .137943E-01 2096 .679090E-01 2101 .163281E-01 2102 .787453E-01
2107 .286455E-01 2108 .133656E+00 2114 .492427E-01 2115 .216784E+00 2120 .630597E-01
2121 .257452E+00 2126 .808327E-01 2127 .308295E+00 2132 .102959E+00 2133 .370858E+00
2138 .128234E+00 2139 .436673E+00 2144 .157237E+00 2145 .497505E+00 2149 .190058E+00
2150 .557713E+00 2154 .230844E+00 2155 .636510E+00 2159 .284000E+00 2160 .738188E+00
2164 .334610E+00 2165 .820050E+00 2169 .385164E+00 2170 .892101E+00 2174 .468813E+00
2175 .102721E+01 2179 .546623E+00 2180 .112911E+01 2183 .633008E+00 2184 .123405E+01
2187 .727142E+00 2188 .134226E+01 2191 .871426E+00 2192 .152797E+01 2195 .998417E+00
2196 .167267E+01 2199 .111808E+01 2200 .179189E+01 2202 .137010E+01 2203 .209974E+01
2205 .149120E+01 2206 .218738E+01 2208 .163530E+01 2209 .229705E+01 2211 .362383E+01
2212 .477232E+01 2214 .152776E+02 2216 .184581E+02 2218 .250186E+02 2219 .337047E+02
2220 .417727E+02 2221 .957785E+02 2232 .682841E-05 2239 .138493E-04 2245 .180232E-03
2246 .192829E-03 2255 .331961E-03 2256 .202195E-03 2263 .777412E-03 2264 .338474E-03
2274 .806553E-04 2275 .198440E-02 2285 .580682E-03 2286 .204925E-02 2296 .873289E-03
2297 .106407E-02 2307 .719399E-03 2308 .616441E-03 2318 .851917E-03 2319 .558188E-03
2329 .100477E-02 2330 .538903E-03 2340 .123591E-02 2341 .560390E-03 2351 .170433E-02
2352 .626681E-03 2362 .230760E-02 2363 .637608E-03 2373 .310587E-02 2374 .575995E-03
2384 .460046E-02 2385 .412353E-03 2393 .157926E-03 2394 .679257E-02 2395 .898818E-04
2403 .873574E-03 2404 .702110E-02 2413 .128656E-02 2414 .503295E-02 2423 .199385E-02
2424 .543109E-02 2433 .245259E-02 2434 .603666E-02 2443 .253334E-02 2444 .618919E-02
2452 .248494E-02 2453 .642932E-02 2461 .252851E-02 2462 .700954E-02 2470 .255966E-02
2471 .760625E-02 2479 .267907E-02 2480 .862011E-02 2487 .259402E-02 2488 .930000E-02
2495 .269441E-02 2496 .106593E-01 2502 .292317E-02 2503 .121314E-01 2509 .295104E-02
2510 .127668E-01 2516 .297557E-02 2517 .134181E-01 2523 .476667E-02 2524 .226689E-01
2530 .763555E-02 2531 .373277E-01 2536 .887674E-02 2537 .436259E-01 2542 .983184E-02
2543 .485155E-01 2548 .114157E-01 2549 .561994E-01 2554 .135126E-01 2555 .651672E-01
2560 .237061E-01 2561 .110610E+00 2567 .407518E-01 2568 .179403E+00 2573 .521863E-01
2574 .213059E+00 2579 .668947E-01 2580 .255135E+00 2585 .852053E-01 2586 .306910E+00
2591 .106122E+00 2592 .361377E+00 2597 .130125E+00 2598 .411720E+00 2602 .157286E+00
2603 .461546E+00 2607 .191039E+00 2608 .526756E+00 2612 .235030E+00 2613 .610901E+00
2617 .276913E+00 2618 .678648E+00 2622 .318750E+00 2623 .738276E+00 2627 .387975E+00
2628 .850088E+00 2632 .452368E+00 2633 .934420E+00 2636 .523858E+00 2637 .102127E+01
2640 .601760E+00 2641 .111081E+01 2644 .721165E+00 2645 .126450E+01 2648 .826259E+00
2649 .138425E+01 2652 .925288E+00 2653 .148292E+01 2655 .113385E+01 2656 .173768E+01
2658 .123407E+01 2659 .181021E+01 2661 .135332E+01 2662 .190097E+01 2664 .299897E+01
2665 .394942E+01 2667 .126433E+02 2669 .152754E+02 2671 .207047E+02 2672 .278930E+02
2673 .345698E+02 2674 .792634E+02
    1   251  0.12000E+03 0.57432E+03 0.63616E+13 0.14174E+13 0.15583E+06
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
  -3 .373255E-05 1779 .825117E-05 1786 .167349E-04 1792 .217785E-03 1793 .233007E-03
1802 .401128E-03 1803 .244324E-03 1810 .939392E-03 1811 .408998E-03 1821 .974604E-04
1822 .239787E-02 1832 .701671E-03 1833 .247623E-02 1843 .105525E-02 1844 .128577E-02
1854 .869303E-03 1855 .744863E-03 1865 .102944E-02 1866 .674471E-03 1876 .121418E-02
1877 .651174E-03 1887 .149348E-02 1888 .677117E-03 1898 .205948E-02 1899 .757182E-03
1909 .278843E-02 1910 .770346E-03 1920 .375305E-02 1921 .695820E-03 1931 .555869E-02
1932 .497872E-03 1940 .191055E-03 1941 .820500E-02 1942 .108305E-03 1950 .105727E-02
1951 .848707E-02 1960 .155582E-02 1961 .608244E-02 1970 .241131E-02 1971 .656473E-02
1980 .296670E-02 1981 .729680E-02 1990 .306409E-02 1991 .748004E-02 1999 .300538E-02
2000 .776911E-02 2008 .305783E-02 2009 .846848E-02 2017 .309531E-02 2018 .918673E-02
2026 .324213E-02 2027 .104161E-01 2034 .314141E-02 2035 .112414E-01 2042 .326478E-02
