Evolutionary tracks: tracksZ0.05.dat                                                         
Metallicity (mass fraction): .0500
Ejecta of massive stars: SNII (model B of Woosley & Weaver [1995]) + stellar winds
Initial mass function: IMF_Salpeter.dat from   0.1000 to 100.0000 solar masses
  516  4422  3142  4047 0.1908E-01
    0   249  0.12000E+03 0.66157E+03 0.63486E+13 0.85193E+12 0.67145E+04
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
3155 .151173E-04 3156 .780510E-04 3165 .290719E-03 3171 .707084E-03 3172 .320664E-03
3180 .874965E-04 3181 .199608E-02 3182 .115632E-03 3189 .587240E-03 3190 .203978E-02
3191 .325512E-06 3201 .480790E-03 3202 .630380E-03 3212 .735622E-03 3213 .523496E-03
3223 .943703E-03 3224 .472827E-03 3234 .118695E-02 3235 .457793E-03 3245 .155033E-02
3246 .461559E-03 3256 .201753E-02 3257 .447951E-03 3267 .226412E-02 3268 .344457E-03
3278 .270002E-02 3279 .190266E-03 3288 .124614E-03 3289 .463884E-02 3290 .396052E-04
3299 .863675E-03 3300 .627434E-02 3310 .223624E-02 3311 .722862E-02 3320 .428649E-02
3321 .799288E-02 3330 .648773E-02 3331 .823673E-02 3340 .839291E-02 3341 .785293E-02
3350 .950212E-02 3351 .711678E-02 3360 .985955E-02 3361 .658710E-02 3369 .105272E-01
3370 .673356E-02 3378 .110972E-01 3379 .698970E-02 3387 .117455E-01 3388 .737695E-02
3396 .127296E-01 3397 .792566E-02 3405 .149687E-01 3406 .921303E-02 3413 .163312E-01
3414 .994882E-02 3421 .174387E-01 3422 .105171E-01 3428 .193674E-01 3429 .115664E-01
3435 .205857E-01 3436 .121771E-01 3442 .217870E-01 3443 .127681E-01 3449 .361710E-01
3450 .209376E-01 3456 .538834E-01 3457 .307152E-01 3462 .626532E-01 3463 .350796E-01
