Wavelength [um]	λL [erg/s/L_sun]	λL Upper Error [erg/s/L_sun]	λL Lower Error [erg/s/L_sun]	Upper Limit
0.04628436426116839	50729786537.92137	0.0	0.0	1
0.06325171821305842	27404369506.93535	0.0	0.0	1
0.08709192439862544	21409390220.562527	0.0	0.0	1
0.1127577319587629	26029211902.19537	0.0	0.0	1
0.13423539518900343	509315120420.36884	36012180231.74325	30867583055.779934	0
0.15034364261168384	615514304981.3259	27560342014.089226	27560342014.089226	0
0.16645189003436428	576692747950.7272	29042080832.051006	24893212141.75801	0
0.23109965635738836	307791304091.67163	131483663883.8209	92636217736.32837	0
0.3865979381443299	482305985246.5614	0.0	0.0	1
0.4832474226804124	548757032102.75433	167199408218.80795	128614929399.08304	0
91.28006872852234	1036485019274.963	196705186139.77402	196705186139.77402	0
122.42268041237114	654356658346.2118	0.0	0.0	1
